,DATE,Canadian,Cleveland,Grady,Kingfisher,HOWNRATEACS040081,Logan,Oklahoma,Payne,Pottawatomie
0,2009-01-01,79.49447203973722,70.17381484843787,77.5200048374418,81.4694173000362,79.75962594533529,78.96633608045815,63.38007279199317,57.52889852172947,72.57411282916033
1,2010-01-01,79.31750881316098,70.82953664108227,77.20235756385068,79.35599531131491,80.16239213806328,79.43262411347519,63.47118943672854,56.93926420433932,74.49975119501786
2,2011-01-01,78.76605753573367,70.52384122493135,77.93710250107301,79.46635730858469,79.2175311141547,77.34681828682906,62.76588291643731,55.8704571670536,73.94804960269684
3,2012-01-01,79.04248963238912,70.24523494037305,76.87559262341081,77.29498164014687,78.94268686808789,78.96100660271583,62.35635188173031,55.07118467503906,73.2315040100928
4,2013-01-01,78.84031520775056,69.58342172995864,75.96214753248749,78.64744712380441,78.19884215500944,79.00666764004478,61.62916341762281,53.605159441060565,72.94380405618095
5,2014-01-01,78.70857606921183,68.54759181097393,75.76104371709773,77.55115643537958,78.33971151015601,79.35283582089552,60.91668154414493,52.933105116489614,70.65609549685983
6,2015-01-01,78.0195961516768,68.98434825901609,76.46514089165234,76.89461513049224,77.72596633233621,79.61576262460805,60.368065934541995,51.72955533735447,69.29555444113396
7,2016-01-01,77.4524261487536,67.77071484331437,77.7008128249892,78.3368365738308,78.91170371235799,80.1397021531652,60.31219600842357,51.1044344294219,68.8779400551352
8,2017-01-01,77.11474357013975,67.09029845049996,78.8554710793083,78.97138387328076,79.77534629263182,80.44448534486727,60.42780043017564,51.63590315343216,69.77516420181097
9,2018-01-01,76.35373158731811,66.66855528359473,79.54659017303601,77.36191154568412,79.75858867223769,80.44631922710573,59.95280252938743,52.8286495085043,69.82259678846516
