,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
80,Oklahoma ,391608.0,392006.0,392866.0,393285.0,393194.0,392313.0,391997.0,390975.0,390224.0,388731.0,386967.0,385605.0,385701.0,386088.0,385445.0,383749.0,382465.0,381775.0,381308.0,381272.0,381590.0,382087.0,382190.0,381901.0,380923.0,380321.0,380962.0,382622.0,384425.0,385824.0,386647.0,387169.0,386896.0,387173.0,388512.0,390478.0,392530.0,393286.0,394107.0,394607.0,395086.0,395636.0,396931.0,398820.0,401356.0,402891.0,404009.0,404737.0,406115.0,407283.0,407740.0,408045.0,409492.0,411072.0,412441.0,413353.0,414546.0,417385.0,419405.0,420870.0,420436.0,421302.0,422846.0,425056.0,425874.0,426323.0,426664.0,426884.0,426064.0,423460.0,421811.0,421322.0,423039.0,424395.0,425501.0,425055.0,424744.0,424709.0,425341.0,426040.0,426998.0,427563.0,428069.0,428214.0,428750.0,429609.0,430193.0,432316.0,434125.0,436265.0,436746.0,437462.0,438781.0,441338.0,443525.0,445241.0,445399.0,444512.0,443642.0,443155.0,444071.0,443946.0,444358.0,444062.0,444047.0,443788.0,444106.0,445662.0,446698.0,448324.0,448441.0,448711.0,447849.0,448278.0,449306.0,450593.0,451391.0,451637.0,451928.0,451633.0,452414.0,453289.0,455460.0,457173.0,459221.0,460804.0,462104.0,463656.0
252,Cleveland ,336329.0,336366.0,337127.0,338362.0,338342.0,338888.0,338810.0,338100.0,337886.0,337401.0,336590.0,335640.0,335408.0,334887.0,333959.0,332128.0,331122.0,329454.0,328026.0,327346.0,326750.0,326498.0,325134.0,325197.0,325274.0,326144.0,326301.0,327079.0,327707.0,328733.0,329867.0,330626.0,330619.0,330452.0,331559.0,331852.0,332058.0,331810.0,333494.0,334801.0,336087.0,336937.0,337752.0,338525.0,340010.0,341335.0,343201.0,343996.0,345253.0,345875.0,346305.0,346330.0,346569.0,347055.0,347718.0,348472.0,348586.0,349075.0,348064.0,349623.0,350971.0,353390.0,353475.0,354016.0,354433.0,355097.0,355768.0,356342.0,357291.0,357418.0,357669.0,354904.0,352549.0,350751.0,352179.0,353516.0,354385.0,354874.0,355434.0,356168.0,357038.0,357956.0,359562.0,362078.0,364372.0,366308.0,367139.0,367889.0,368206.0,368858.0,368566.0,368237.0,367680.0,368176.0,368637.0,369099.0,368991.0,367016.0,365455.0,364070.0,364904.0,364847.0,365623.0,365598.0,365664.0,365423.0,365729.0,367022.0,368447.0,370156.0,370402.0,370119.0,369789.0,370921.0,371814.0,372458.0,372467.0,372811.0,372806.0,371994.0,371413.0,371602.0,372872.0,374522.0,375277.0,375309.0,375321.0,375963.0
515,Canadian ,298149.0,296699.0,293878.0,292217.0,291139.0,291204.0,288478.0,285431.0,282234.0,282282.0,282124.0,281472.0,280078.0,279686.0,278222.0,276107.0,274235.0,273137.0,274114.0,274537.0,275283.0,273939.0,272189.0,270699.0,270522.0,270492.0,271917.0,273250.0,273572.0,272935.0,272216.0,272496.0,273256.0,274779.0,277557.0,280442.0,282472.0,283503.0,283845.0,284654.0,285657.0,287210.0,288045.0,289214.0,289231.0,289237.0,288786.0,288772.0,289212.0,289750.0,290585.0,290977.0,292596.0,293550.0,295335.0,295727.0,297005.0,297859.0,299231.0,300135.0,301177.0,302136.0,303093.0,304185.0,304318.0,304892.0,304987.0,306267.0,306945.0,308299.0,307827.0,307680.0,306698.0,307292.0,307486.0,307676.0,307874.0,308384.0,309087.0,309090.0,308898.0,308386.0,308695.0,308874.0,309703.0,309804.0,310155.0,310113.0,309949.0,309419.0,308879.0,308621.0,308524.0,308570.0,308843.0,309983.0,311256.0,311900.0,311976.0,312194.0,313132.0,314003.0,314980.0,315817.0,317052.0,318152.0,319269.0,319414.0,318537.0,318110.0,318471.0,318811.0,319381.0,320164.0,322003.0,322940.0,323475.0,323853.0,324453.0,325427.0,327049.0,328769.0,330173.0,331663.0,332692.0,333724.0,333959.0,335024.0
700,Payne ,286478.0,287403.0,288445.0,289357.0,289070.0,288622.0,288165.0,288386.0,289008.0,289015.0,288306.0,287020.0,286137.0,285796.0,285642.0,285249.0,285189.0,285376.0,285486.0,285163.0,284918.0,284887.0,285213.0,285480.0,285718.0,285950.0,285867.0,286414.0,286673.0,287118.0,287214.0,287502.0,287936.0,288742.0,289563.0,290616.0,291684.0,292535.0,293460.0,293681.0,293876.0,293821.0,294182.0,294880.0,295450.0,296085.0,296538.0,297141.0,297571.0,298390.0,299337.0,300510.0,301631.0,302773.0,303943.0,304896.0,305944.0,306841.0,307942.0,308942.0,309794.0,310741.0,311833.0,313269.0,314747.0,316135.0,317743.0,319113.0,320399.0,321477.0,322777.0,323823.0,325023.0,325652.0,326253.0,326793.0,327665.0,328723.0,329554.0,330346.0,331152.0,331936.0,332289.0,332972.0,333576.0,335218.0,336671.0,338217.0,338993.0,339758.0,340256.0,341052.0,341934.0,343393.0,344303.0,345182.0,346100.0,346670.0,347388.0,347923.0,349207.0,350215.0,351249.0,352213.0,353432.0,354407.0,354837.0,355086.0,355267.0,356966.0,358541.0,360172.0,361526.0,363201.0,365135.0,366659.0,367879.0,369105.0,371159.0,373279.0,375417.0,376301.0,377217.0,378132.0,379019.0,379758.0,380302.0,381070.0
761,Pottawatomie ,167829.0,167858.0,167948.0,167814.0,167954.0,167848.0,167459.0,166813.0,166383.0,165950.0,165682.0,165018.0,164252.0,163230.0,162287.0,161638.0,161279.0,160974.0,160813.0,160904.0,161006.0,161386.0,161400.0,161612.0,161571.0,161890.0,162249.0,162351.0,162612.0,162731.0,163025.0,163009.0,163363.0,163661.0,164114.0,164304.0,164722.0,165141.0,165440.0,165841.0,165735.0,165902.0,165864.0,166210.0,166231.0,165751.0,165542.0,165553.0,166241.0,166664.0,167128.0,167286.0,167652.0,168011.0,168566.0,168905.0,169161.0,170511.0,171780.0,173336.0,173462.0,173865.0,174047.0,174769.0,175406.0,176055.0,176642.0,177246.0,178012.0,177551.0,177252.0,176560.0,177233.0,177504.0,178162.0,178714.0,179374.0,179903.0,180112.0,180485.0,180932.0,181742.0,181885.0,182330.0,183221.0,184820.0,185964.0,186163.0,186315.0,186903.0,187987.0,189002.0,189508.0,190290.0,191146.0,192436.0,191678.0,190952.0,190206.0,191083.0,192142.0,192874.0,193531.0,193954.0,194756.0,195595.0,196149.0,195637.0,195504.0,195899.0,196933.0,197669.0,198143.0,199140.0,200062.0,201080.0,201694.0,202201.0,203025.0,204365.0,206213.0,207429.0,208181.0,208524.0,208949.0,209009.0,209041.0,209086.0
851,Garfield ,178771.0,177763.0,176868.0,176069.0,176462.0,176522.0,176336.0,176146.0,175725.0,175639.0,174349.0,172990.0,171166.0,171216.0,171447.0,172276.0,172458.0,173067.0,173314.0,173293.0,173022.0,172137.0,172090.0,172144.0,173189.0,173908.0,174419.0,174627.0,174562.0,174342.0,174127.0,174232.0,174642.0,175045.0,175299.0,175631.0,176128.0,176527.0,177134.0,177386.0,177963.0,178316.0,179035.0,179413.0,179801.0,180331.0,181156.0,181939.0,182673.0,183332.0,184040.0,184681.0,185216.0,185944.0,186445.0,187387.0,188184.0,189031.0,189430.0,189978.0,190642.0,191497.0,192070.0,192698.0,193368.0,194462.0,195975.0,197161.0,198230.0,198893.0,199597.0,200100.0,200182.0,200406.0,200876.0,202023.0,203069.0,203566.0,203605.0,204035.0,204777.0,205879.0,207100.0,208456.0,209657.0,211100.0,212325.0,213291.0,213583.0,214024.0,214737.0,216199.0,217466.0,218745.0,219107.0,219599.0,220124.0,219277.0,218408.0,217440.0,217869.0,218660.0,219234.0,217568.0,215918.0,214242.0,215343.0,215358.0,215917.0,216460.0,217590.0,217565.0,217301.0,218215.0,219815.0,221221.0,221108.0,220958.0,220234.0,220223.0,219809.0,220013.0,219850.0,220664.0,221143.0,220515.0,219413.0,219340.0
939,Grady ,185475.0,185149.0,184728.0,184994.0,185428.0,185933.0,185966.0,186113.0,186388.0,186703.0,186429.0,186054.0,185129.0,184547.0,183879.0,183910.0,183709.0,183736.0,184005.0,184486.0,184770.0,185177.0,185758.0,186351.0,186970.0,187314.0,188103.0,188512.0,188809.0,188878.0,189142.0,189240.0,189005.0,189031.0,189040.0,189461.0,189663.0,190224.0,190427.0,190723.0,191145.0,191651.0,191965.0,192086.0,193020.0,193322.0,193774.0,193656.0,194089.0,194584.0,195195.0,195730.0,196389.0,197063.0,197801.0,198645.0,199236.0,200849.0,202748.0,204763.0,206241.0,207002.0,208075.0,208909.0,209577.0,210090.0,210484.0,211378.0,212059.0,211689.0,211178.0,210903.0,211703.0,212641.0,213220.0,213803.0,214358.0,214993.0,215815.0,216116.0,216437.0,217160.0,217515.0,217995.0,217693.0,218286.0,218673.0,219782.0,220904.0,222247.0,223070.0,224139.0,225406.0,226905.0,227963.0,229052.0,230022.0,230754.0,231557.0,231901.0,232788.0,233815.0,235296.0,236411.0,237198.0,238213.0,238881.0,239240.0,239116.0,239876.0,241129.0,242678.0,243971.0,244948.0,246087.0,247066.0,248123.0,248689.0,250015.0,251493.0,253500.0,254693.0,255480.0,256084.0,256595.0,257223.0,257586.0,258196.0
1133,Logan ,260244.0,260449.0,260287.0,260263.0,259890.0,259672.0,259507.0,259307.0,259025.0,258394.0,257951.0,257362.0,257273.0,256937.0,256697.0,256276.0,256241.0,256721.0,257042.0,257512.0,257855.0,258549.0,259190.0,259784.0,260287.0,260724.0,261258.0,261528.0,261598.0,261566.0,261788.0,262185.0,262550.0,262945.0,263236.0,263586.0,264000.0,264502.0,265158.0,265896.0,266626.0,267079.0,267539.0,268010.0,268574.0,268946.0,269403.0,269998.0,270667.0,271499.0,272287.0,273292.0,274339.0,275441.0,276428.0,277436.0,278624.0,279968.0,281245.0,282384.0,283310.0,284251.0,285091.0,285907.0,286613.0,287594.0,288734.0,289860.0,290556.0,291282.0,292054.0,292937.0,293770.0,294433.0,295078.0,295776.0,296633.0,297386.0,297900.0,298357.0,299105.0,299792.0,300668.0,301584.0,302637.0,303648.0,304586.0,305539.0,306476.0,307359.0,308325.0,309073.0,309853.0,310530.0,310706.0,310881.0,311293.0,312653.0,314409.0,315992.0,317435.0,318615.0,319910.0,321253.0,322598.0,323986.0,324240.0,324310.0,324107.0,324992.0,326141.0,327478.0,328952.0,330064.0,331196.0,332038.0,333030.0,334012.0,336088.0,338238.0,340400.0,341209.0,341582.0,341859.0,342078.0,342706.0,343212.0,343886.0
1315,Lincoln ,147785.0,146750.0,146097.0,144416.0,143850.0,142814.0,142549.0,142610.0,142711.0,143183.0,142055.0,140965.0,139360.0,139662.0,140086.0,142034.0,143416.0,144676.0,144516.0,144219.0,144156.0,143891.0,144110.0,144625.0,145483.0,145922.0,146289.0,146285.0,146193.0,146251.0,146871.0,147416.0,147898.0,147494.0,147276.0,147003.0,147568.0,148418.0,148874.0,149003.0,149247.0,149476.0,149871.0,150189.0,150649.0,151294.0,152237.0,153010.0,153842.0,154355.0,155084.0,155704.0,155895.0,155884.0,156306.0,156689.0,157511.0,158479.0,159645.0,160596.0,160862.0,161486.0,162211.0,163370.0,164481.0,166324.0,167449.0,168811.0,169282.0,169888.0,170046.0,170423.0,171246.0,171322.0,171410.0,171371.0,172153.0,172732.0,173457.0,174070.0,174813.0,175641.0,176052.0,176744.0,177119.0,178727.0,180278.0,181662.0,181999.0,181596.0,181596.0,181728.0,182548.0,183474.0,184737.0,186120.0,187074.0,187710.0,187994.0,188523.0,189695.0,191615.0,193252.0,194311.0,194871.0,195334.0,195750.0,194831.0,194504.0,194287.0,195178.0,195670.0,197046.0,197979.0,199116.0,199289.0,199784.0,200281.0,201001.0,202574.0,203912.0,205059.0,205526.0,206219.0,206083.0,206079.0,205958.0,206848.0
2091,Kingfisher ,121411.0,120477.0,119842.0,118537.0,118306.0,117507.0,117139.0,116796.0,116796.0,116487.0,116618.0,116512.0,116252.0,116304.0,115838.0,116095.0,115626.0,116107.0,116059.0,116559.0,116748.0,118079.0,119096.0,119967.0,120654.0,121732.0,123157.0,124310.0,125435.0,125943.0,126849.0,127371.0,128472.0,128401.0,128376.0,128152.0,128097.0,127966.0,128299.0,128920.0,129582.0,129948.0,130282.0,130670.0,130817.0,130792.0,130800.0,131154.0,131885.0,132406.0,132659.0,132882.0,132976.0,133250.0,133375.0,134013.0,134678.0,135708.0,136517.0,137281.0,138063.0,138788.0,139472.0,139943.0,141248.0,142547.0,143802.0,144125.0,144424.0,144896.0,145723.0,146811.0,147761.0,148995.0,149929.0,150621.0,150496.0,150815.0,151687.0,152897.0,154124.0,154863.0,155469.0,155683.0,156401.0,157472.0,158990.0,160144.0,161067.0,161817.0,162284.0,163366.0,163721.0,164349.0,164195.0,164740.0,164070.0,163470.0,162822.0,163583.0,165250.0,166370.0,167404.0,167334.0,167902.0,168267.0,169070.0,169168.0,169501.0,170356.0,171341.0,172737.0,173655.0,174397.0,174836.0,174824.0,175237.0,175453.0,176009.0,176755.0,177758.0,178197.0,178447.0,177737.0,177014.0,176692.0,176673.0,177361.0
