,DATE,Canadian,Cleveland,Garfield,Grady,Kingfisher,Lincoln,Logan,Oklahoma,Payne,Pottawatomie
13,2010-01-01,57018,51468,38827,44036,48255,40076,49006,42758,36874,38259
14,2011-01-01,60225,51900,42800,45688,53050,38058,48346,43101,37075,41520
15,2012-01-01,62984,54036,45370,47619,53332,44149,51642,43623,37874,42255
16,2013-01-01,63889,54865,47961,48671,54982,42378,57490,45988,39609,44405
17,2014-01-01,68421,58205,49136,51199,59525,46083,55602,48226,41037,45710
18,2015-01-01,63291,59417,49070,53208,59462,46976,57892,49750,41747,43587
19,2016-01-01,68291,61275,49841,55552,60814,44914,54305,51082,42035,42453
20,2017-01-01,73878,61364,49116,54887,61728,47011,60628,51389,40237,48103
21,2018-01-01,70942,62343,52387,56489,59266,48039,69114,52346,47748,48499
