,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
101,Tulsa ,223967.0,224574.0,225421.0,226680.0,227142.0,226595.0,224922.0,223638.0,222248.0,221093.0,220063.0,219846.0,219725.0,218809.0,217245.0,215373.0,213881.0,213627.0,214272.0,214822.0,215326.0,215323.0,215454.0,215188.0,214677.0,214674.0,214715.0,215289.0,216343.0,216622.0,216637.0,216708.0,216790.0,217310.0,217586.0,218414.0,218925.0,219376.0,219950.0,221063.0,221537.0,222068.0,222374.0,223114.0,224162.0,224941.0,225570.0,225817.0,226260.0,226919.0,227171.0,226919.0,226952.0,227316.0,228102.0,228242.0,228410.0,229212.0,230346.0,230857.0,231279.0,231240.0,232015.0,232158.0,232257.0,232430.0,232658.0,233102.0,233009.0,232106.0,231063.0,230501.0,230720.0,231426.0,231846.0,232573.0,233494.0,234393.0,234984.0,235394.0,235890.0,236661.0,237333.0,238099.0,238287.0,238540.0,238874.0,239524.0,239785.0,239524.0,239021.0,238769.0,239214.0,239416.0,239902.0,240584.0,241713.0,242178.0,242103.0,241992.0,241972.0,241923.0,242076.0,242351.0,242255.0,242481.0,243133.0,243962.0,244122.0,243664.0,243617.0,243556.0,244200.0,244960.0,245857.0,246470.0,246968.0,247567.0,247860.0,248002.0,248652.0,250197.0,251810.0,253512.0,254824.0,256297.0,257777.0,259560.0
647,Rogers ,250760.0,251092.0,251150.0,250817.0,250445.0,250043.0,249725.0,249426.0,248931.0,248354.0,247459.0,246488.0,246415.0,246303.0,246468.0,245792.0,245046.0,244315.0,243908.0,243954.0,244076.0,244675.0,245102.0,245316.0,242356.0,238445.0,234104.0,232472.0,232264.0,232521.0,231932.0,230247.0,228473.0,225933.0,224463.0,223578.0,224867.0,227422.0,229722.0,231337.0,231507.0,231375.0,231655.0,231714.0,232597.0,232302.0,232310.0,231085.0,230803.0,229343.0,228814.0,227589.0,226681.0,225426.0,225067.0,226759.0,226874.0,228978.0,229583.0,232150.0,233483.0,235760.0,236236.0,235628.0,235177.0,236312.0,237039.0,236251.0,236381.0,236271.0,236381.0,235752.0,234899.0,234954.0,235921.0,238512.0,240223.0,241194.0,241604.0,242033.0,242392.0,242413.0,242823.0,242492.0,242335.0,241685.0,241645.0,241508.0,241967.0,241891.0,241981.0,242407.0,242761.0,243328.0,243649.0,244825.0,245977.0,245664.0,244988.0,244192.0,244636.0,245009.0,245620.0,246436.0,247901.0,249538.0,251106.0,252012.0,252193.0,253068.0,253489.0,254875.0,255444.0,256467.0,257171.0,257719.0,258114.0,257953.0,258115.0,258612.0,259711.0,261140.0,263010.0,264231.0,265464.0,266625.0,268027.0,269527.0
738,Wagoner ,197144.0,197026.0,196892.0,196682.0,196512.0,196342.0,196110.0,195957.0,195827.0,195710.0,195289.0,194789.0,194216.0,193662.0,193094.0,192639.0,192405.0,192289.0,192257.0,192145.0,192164.0,192218.0,192400.0,192551.0,192631.0,192686.0,192743.0,192847.0,192897.0,192932.0,193001.0,193145.0,193235.0,193336.0,193415.0,193583.0,193710.0,193830.0,193939.0,194080.0,194229.0,194473.0,194986.0,195551.0,196062.0,196145.0,196215.0,196231.0,196293.0,196373.0,196495.0,196875.0,197388.0,198134.0,199504.0,200892.0,202087.0,202699.0,203129.0,203585.0,203361.0,203014.0,202707.0,202834.0,202817.0,202116.0,199478.0,196946.0,195019.0,195048.0,195630.0,196103.0,198076.0,200553.0,202920.0,203460.0,203403.0,203756.0,205054.0,205735.0,206191.0,206368.0,206407.0,206493.0,205810.0,205475.0,205187.0,205962.0,206498.0,207053.0,207697.0,209221.0,210361.0,210911.0,211245.0,212193.0,212423.0,210730.0,208646.0,207266.0,207886.0,208843.0,210168.0,210914.0,211377.0,211620.0,211563.0,211228.0,211307.0,213135.0,215532.0,216753.0,216928.0,216934.0,217140.0,217208.0,217573.0,218357.0,219737.0,221126.0,222732.0,223928.0,224991.0,226628.0,228355.0,230224.0,231913.0,234057.0
750,Muskogee ,120851.0,121150.0,121374.0,121521.0,121576.0,121427.0,121312.0,121166.0,121078.0,121106.0,121129.0,121202.0,121054.0,120758.0,120472.0,120141.0,119998.0,119912.0,120017.0,120149.0,120311.0,120091.0,119927.0,119705.0,119864.0,120023.0,120266.0,120503.0,120725.0,120984.0,121163.0,121423.0,121647.0,122171.0,122631.0,123092.0,123178.0,123354.0,123416.0,123610.0,123574.0,123720.0,123824.0,123992.0,124159.0,124411.0,124694.0,124931.0,125358.0,125583.0,125857.0,125878.0,126113.0,126158.0,126275.0,126346.0,126445.0,126890.0,127414.0,128007.0,127930.0,127939.0,127973.0,128281.0,128560.0,128833.0,129027.0,129166.0,129257.0,128417.0,127653.0,126910.0,127253.0,127498.0,127695.0,127810.0,127817.0,127873.0,127981.0,128133.0,128309.0,128817.0,129036.0,129268.0,129163.0,129517.0,129836.0,130099.0,130345.0,130599.0,130836.0,130987.0,131188.0,131683.0,132022.0,132298.0,132357.0,132274.0,132330.0,132484.0,132918.0,133288.0,133605.0,133969.0,134367.0,134687.0,134719.0,134759.0,134806.0,135453.0,136156.0,136870.0,137432.0,137928.0,138495.0,138945.0,139396.0,139738.0,140485.0,141263.0,142188.0,142640.0,142999.0,143330.0,143666.0,144103.0,144528.0,145045.0
758,Creek ,161000.0,161642.0,162104.0,161890.0,161785.0,161788.0,161827.0,161879.0,161766.0,161996.0,162153.0,162245.0,161923.0,161338.0,160850.0,160643.0,160474.0,160408.0,160376.0,160473.0,160596.0,160222.0,159979.0,159806.0,160009.0,160279.0,160389.0,160478.0,160537.0,160522.0,160676.0,160841.0,161169.0,161609.0,161960.0,162276.0,162493.0,162695.0,163028.0,163237.0,163441.0,163738.0,164043.0,164339.0,164498.0,164379.0,164363.0,164363.0,164715.0,165107.0,165584.0,166288.0,166892.0,167348.0,167653.0,168029.0,168560.0,169730.0,171051.0,172370.0,173213.0,173864.0,174434.0,174860.0,175681.0,176663.0,177750.0,178570.0,179204.0,178768.0,178501.0,178250.0,178820.0,179153.0,179497.0,179927.0,180103.0,180273.0,180516.0,181030.0,181584.0,182519.0,182768.0,183033.0,182688.0,182641.0,182623.0,182836.0,183619.0,184359.0,184895.0,185123.0,185303.0,185906.0,186687.0,187505.0,188218.0,189289.0,190426.0,191550.0,192205.0,193029.0,193818.0,194741.0,195473.0,196040.0,196498.0,196879.0,197590.0,199290.0,200794.0,201123.0,200382.0,199566.0,199701.0,200699.0,202183.0,203683.0,204807.0,206092.0,207376.0,207723.0,208250.0,209733.0,212280.0,214925.0,216990.0,218435.0
963,Washington ,196219.0,195809.0,196146.0,196076.0,196006.0,195870.0,195626.0,195334.0,194889.0,194641.0,194416.0,194103.0,193709.0,193065.0,192565.0,192165.0,191831.0,191668.0,191496.0,191574.0,191764.0,192116.0,191734.0,191571.0,191346.0,191823.0,191928.0,191945.0,191995.0,192074.0,192309.0,192463.0,192572.0,192558.0,192919.0,193277.0,193757.0,193866.0,194129.0,194184.0,194282.0,194239.0,194260.0,194224.0,194353.0,194052.0,194004.0,193958.0,194440.0,194784.0,195184.0,195705.0,196499.0,197203.0,197789.0,197942.0,198108.0,199011.0,200096.0,201230.0,201979.0,202918.0,203687.0,204155.0,205135.0,205980.0,206671.0,206179.0,205733.0,204316.0,203300.0,202380.0,203113.0,203909.0,204866.0,205267.0,203819.0,202820.0,201852.0,203679.0,204967.0,206634.0,206642.0,206661.0,203783.0,201208.0,198229.0,197512.0,197435.0,197492.0,197714.0,197529.0,197486.0,197357.0,197949.0,198432.0,199929.0,200208.0,201002.0,200538.0,200951.0,200811.0,200819.0,200660.0,200995.0,201533.0,202228.0,202762.0,203340.0,204350.0,205099.0,206112.0,206961.0,208357.0,209622.0,209795.0,209539.0,209169.0,209168.0,209425.0,209777.0,210477.0,211338.0,212320.0,213048.0,213726.0,214560.0,216512.0
1013,Osage ,165815.0,165429.0,165266.0,165113.0,164977.0,164638.0,164292.0,163944.0,163712.0,163594.0,163242.0,162765.0,162071.0,161441.0,160979.0,160829.0,160717.0,160776.0,160772.0,160855.0,161053.0,161155.0,161346.0,161652.0,162082.0,162401.0,162558.0,162535.0,162658.0,162819.0,163078.0,163329.0,163416.0,163617.0,163824.0,164165.0,164663.0,165169.0,165631.0,165825.0,165862.0,165807.0,165805.0,165877.0,166140.0,166531.0,167018.0,167426.0,167720.0,167956.0,168356.0,168877.0,169511.0,170094.0,170595.0,170977.0,171257.0,172089.0,172949.0,173875.0,174016.0,174263.0,174415.0,174714.0,174876.0,175005.0,175179.0,175360.0,175479.0,174075.0,172775.0,171441.0,171685.0,171720.0,171724.0,171809.0,171989.0,172316.0,172566.0,172931.0,173279.0,174250.0,174833.0,175541.0,175676.0,176252.0,176819.0,177162.0,177472.0,177785.0,178269.0,178578.0,178925.0,179437.0,179969.0,180418.0,180750.0,181189.0,182066.0,182803.0,183706.0,184162.0,184696.0,185168.0,185813.0,186556.0,186818.0,187125.0,187336.0,188275.0,189709.0,191851.0,193788.0,195206.0,195937.0,196451.0,196843.0,197160.0,198078.0,198925.0,199967.0,200292.0,199995.0,199242.0,198546.0,198452.0,198770.0,199249.0
1146,Mayes ,163041.0,162346.0,161244.0,159925.0,160143.0,159771.0,159088.0,158010.0,158958.0,159589.0,159355.0,157830.0,155483.0,154635.0,154693.0,155587.0,155951.0,155888.0,156234.0,156662.0,156488.0,156452.0,156638.0,157214.0,158021.0,158530.0,158545.0,158242.0,157796.0,158014.0,158231.0,158879.0,159057.0,158408.0,157826.0,157476.0,158198.0,158714.0,159314.0,159819.0,160476.0,160960.0,161204.0,161164.0,161349.0,162083.0,162992.0,163963.0,164311.0,164747.0,165073.0,165544.0,166007.0,166482.0,167171.0,167691.0,168362.0,169403.0,170616.0,171675.0,172443.0,173278.0,174114.0,174666.0,175036.0,175604.0,176031.0,176648.0,176946.0,176553.0,176100.0,175654.0,176006.0,176084.0,176362.0,176876.0,177471.0,178070.0,178684.0,179242.0,179706.0,180291.0,180564.0,181052.0,181356.0,182076.0,182565.0,182951.0,183401.0,183831.0,184287.0,184756.0,185319.0,186253.0,187101.0,187913.0,188480.0,189353.0,190218.0,191060.0,191835.0,192655.0,193338.0,194075.0,194814.0,195617.0,195832.0,195887.0,195897.0,196818.0,197918.0,199117.0,199956.0,200767.0,201437.0,201906.0,202472.0,202980.0,204023.0,205174.0,206523.0,206952.0,207315.0,207654.0,208329.0,209044.0,209962.0,211029.0
1170,Okmulgee ,107728.0,106854.0,105773.0,104638.0,104706.0,104838.0,104929.0,104784.0,104737.0,105065.0,104641.0,103970.0,102723.0,102512.0,102270.0,102438.0,102255.0,102316.0,102284.0,102314.0,102265.0,101421.0,100611.0,99860.0,99984.0,100336.0,100765.0,100942.0,101001.0,100811.0,100803.0,100602.0,100477.0,100598.0,101022.0,101592.0,101893.0,102037.0,102180.0,102296.0,102459.0,102701.0,103039.0,103506.0,103962.0,104315.0,104676.0,104814.0,104863.0,104819.0,105005.0,105560.0,106073.0,106568.0,106899.0,107274.0,107472.0,107842.0,108110.0,108773.0,109724.0,110842.0,111772.0,112204.0,112618.0,112957.0,113230.0,113551.0,113960.0,114607.0,115196.0,115641.0,115772.0,115721.0,115756.0,115876.0,116061.0,116282.0,116844.0,117432.0,118038.0,118324.0,118584.0,118859.0,119509.0,120475.0,121259.0,121836.0,122318.0,122867.0,123200.0,123392.0,123742.0,124149.0,124464.0,124828.0,124599.0,124454.0,124288.0,124919.0,125593.0,126305.0,126711.0,127126.0,127443.0,127980.0,128159.0,127786.0,127430.0,127545.0,128054.0,128577.0,129401.0,130301.0,131195.0,131416.0,131557.0,131697.0,132386.0,133449.0,134704.0,135485.0,136008.0,136169.0,136103.0,135964.0,136042.0,136683.0
