,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
101,Tulsa ,83089.0,83577.0,84116.0,84783.0,85088.0,84980.0,84156.0,83522.0,82906.0,82424.0,81853.0,81515.0,81156.0,80479.0,79655.0,78646.0,77793.0,77206.0,77223.0,77195.0,77235.0,77031.0,76921.0,76649.0,76232.0,76000.0,75789.0,75869.0,76169.0,76338.0,76265.0,76144.0,75920.0,75875.0,75846.0,76023.0,76226.0,76315.0,76437.0,76764.0,76857.0,76914.0,77001.0,77304.0,77692.0,77911.0,78070.0,78170.0,78279.0,78539.0,78557.0,78254.0,78021.0,77970.0,78000.0,77874.0,77739.0,77954.0,78243.0,78450.0,78587.0,78547.0,78821.0,78937.0,78935.0,79020.0,79179.0,79424.0,79429.0,79151.0,78733.0,78378.0,78376.0,78643.0,78919.0,79381.0,80124.0,80697.0,81165.0,81442.0,81988.0,82617.0,83383.0,84085.0,84418.0,84716.0,84981.0,85355.0,85597.0,85774.0,85955.0,86199.0,86639.0,86849.0,87135.0,87638.0,88365.0,88889.0,89074.0,89307.0,89498.0,89823.0,90046.0,90349.0,90297.0,90574.0,91015.0,91546.0,92001.0,92236.0,92809.0,93197.0,93611.0,94042.0,94469.0,94998.0,95400.0,95873.0,96156.0,96294.0,96478.0,96973.0,97415.0,97977.0,98583.0,99144.0,99784.0,100327.0
645,Rogers ,70988.0,70999.0,71098.0,71173.0,71168.0,71261.0,71327.0,71524.0,71633.0,71608.0,71262.0,70877.0,70324.0,70052.0,69780.0,69829.0,69637.0,69482.0,69414.0,69410.0,69584.0,69949.0,70379.0,70796.0,71022.0,70878.0,70630.0,70315.0,70532.0,70722.0,70610.0,70001.0,69387.0,68922.0,68816.0,68943.0,69087.0,69725.0,70247.0,71020.0,71490.0,71919.0,72272.0,72819.0,73286.0,73153.0,72862.0,72082.0,71920.0,71233.0,70948.0,69812.0,68680.0,67647.0,67238.0,67355.0,67112.0,67401.0,67428.0,68024.0,68486.0,69081.0,69235.0,69283.0,69225.0,68980.0,69087.0,68988.0,69484.0,69748.0,69795.0,69870.0,69309.0,69333.0,69329.0,70446.0,71649.0,73318.0,74078.0,74600.0,74789.0,74924.0,75621.0,75691.0,76020.0,75546.0,75421.0,75014.0,74905.0,74961.0,75092.0,75367.0,75617.0,76198.0,76813.0,77947.0,79158.0,80411.0,81620.0,82342.0,83020.0,83296.0,84056.0,84844.0,85868.0,86860.0,87435.0,87367.0,86783.0,86907.0,87260.0,88736.0,89516.0,90586.0,91234.0,92291.0,93074.0,93789.0,94772.0,96184.0,97996.0,99424.0,100668.0,101325.0,102593.0,103867.0,105334.0,106494.0
736,Wagoner ,74179.0,74060.0,73927.0,73796.0,73681.0,73495.0,73348.0,73250.0,73202.0,72919.0,72534.0,72161.0,71976.0,71841.0,71782.0,71632.0,71491.0,71303.0,71240.0,71097.0,71044.0,71179.0,71397.0,71559.0,71507.0,71436.0,71323.0,71269.0,71234.0,71303.0,71391.0,71555.0,71672.0,71742.0,71729.0,71746.0,71732.0,71773.0,71816.0,71945.0,72026.0,72091.0,72117.0,72200.0,72263.0,72216.0,72187.0,72189.0,72328.0,72313.0,72272.0,72259.0,72455.0,72852.0,73338.0,73779.0,74086.0,74306.0,74612.0,74881.0,75056.0,75188.0,75461.0,75718.0,75942.0,75896.0,75882.0,75757.0,75903.0,76385.0,77131.0,77760.0,78768.0,80411.0,82026.0,83160.0,83355.0,83306.0,83092.0,83189.0,83454.0,83644.0,83433.0,83625.0,83580.0,83422.0,82941.0,82868.0,83220.0,83943.0,84704.0,85360.0,85902.0,86965.0,88063.0,88895.0,88814.0,87702.0,86589.0,85953.0,86493.0,87587.0,88577.0,89580.0,89785.0,89685.0,89384.0,89182.0,89002.0,89153.0,89402.0,89305.0,89360.0,89207.0,89415.0,89823.0,90915.0,92306.0,93390.0,94454.0,95949.0,97634.0,99270.0,100859.0,101621.0,102182.0,102500.0,102653.0
748,Muskogee ,34138.0,34198.0,34283.0,34347.0,34351.0,34246.0,34134.0,34010.0,33923.0,33742.0,33577.0,33400.0,33225.0,33072.0,32959.0,32879.0,32850.0,32833.0,32794.0,32677.0,32543.0,32460.0,32443.0,32447.0,32477.0,32516.0,32514.0,32503.0,32490.0,32494.0,32523.0,32612.0,32722.0,32852.0,32864.0,32878.0,32776.0,32710.0,32648.0,32630.0,32590.0,32577.0,32625.0,32621.0,32625.0,32642.0,32780.0,32878.0,33003.0,33060.0,33081.0,33055.0,33075.0,33077.0,33047.0,33090.0,33156.0,33258.0,33274.0,33324.0,33327.0,33360.0,33431.0,33530.0,33661.0,33816.0,33969.0,34045.0,34059.0,34084.0,34203.0,34317.0,34423.0,34494.0,34543.0,34563.0,34481.0,34393.0,34322.0,34305.0,34309.0,34262.0,34117.0,33993.0,33930.0,34055.0,34182.0,34337.0,34427.0,34515.0,34586.0,34618.0,34670.0,34746.0,34808.0,34844.0,34852.0,34669.0,34534.0,34401.0,34530.0,34639.0,34708.0,34784.0,34818.0,34910.0,34847.0,34794.0,34687.0,34845.0,35004.0,35216.0,35299.0,35365.0,35481.0,35573.0,35720.0,35802.0,36051.0,36306.0,36609.0,36767.0,36909.0,37015.0,37122.0,37267.0,37407.0,37577.0
756,Creek ,55215.0,55217.0,55036.0,54987.0,54899.0,54855.0,54649.0,54605.0,54571.0,54763.0,54769.0,54792.0,54744.0,54733.0,54797.0,54801.0,54775.0,54727.0,54684.0,54608.0,54553.0,54310.0,54080.0,53804.0,53803.0,53916.0,54027.0,54087.0,54100.0,54102.0,54163.0,54196.0,54250.0,54259.0,54374.0,54518.0,54593.0,54559.0,54492.0,54513.0,54640.0,54859.0,55058.0,55297.0,55509.0,55686.0,55782.0,55835.0,55974.0,56190.0,56505.0,56725.0,56832.0,56918.0,56999.0,57127.0,57160.0,57611.0,58097.0,58665.0,58938.0,59174.0,59372.0,59552.0,59783.0,59956.0,60212.0,60459.0,60870.0,60586.0,60300.0,59961.0,60190.0,60422.0,60583.0,60804.0,61027.0,61302.0,61546.0,61772.0,61906.0,62208.0,62445.0,62689.0,62633.0,62665.0,62773.0,63003.0,63202.0,63350.0,63379.0,63334.0,63306.0,63575.0,63897.0,64162.0,64297.0,64044.0,63929.0,63775.0,64002.0,64246.0,64587.0,64960.0,65222.0,65386.0,65471.0,65602.0,65827.0,66680.0,67422.0,67738.0,67444.0,67181.0,67269.0,67605.0,68097.0,68479.0,68818.0,69189.0,69627.0,69772.0,69942.0,70466.0,71322.0,72192.0,72801.0,73244.0
960,Washington ,50816.0,50270.0,50035.0,50030.0,49993.0,49817.0,49571.0,49360.0,49201.0,49128.0,49119.0,48962.0,48794.0,48572.0,48445.0,48327.0,48244.0,48221.0,48263.0,48305.0,48330.0,48428.0,48155.0,48014.0,47760.0,47813.0,47718.0,47593.0,47474.0,47417.0,47365.0,47348.0,47316.0,47142.0,47115.0,47121.0,47351.0,47420.0,47478.0,47488.0,47516.0,47497.0,47440.0,47354.0,47311.0,47049.0,46859.0,46711.0,46868.0,47052.0,47207.0,47342.0,47475.0,47636.0,47843.0,47932.0,48082.0,48401.0,48845.0,49243.0,49343.0,49490.0,49657.0,49964.0,50389.0,50747.0,51028.0,51061.0,51080.0,51139.0,51242.0,51368.0,51573.0,51688.0,51870.0,51914.0,51687.0,51570.0,51505.0,52086.0,52554.0,53099.0,53261.0,53413.0,53416.0,53392.0,53264.0,53231.0,53411.0,53625.0,53874.0,54024.0,54164.0,54166.0,54365.0,54616.0,55052.0,55435.0,55909.0,56161.0,56322.0,56300.0,56398.0,56468.0,56691.0,57003.0,57323.0,57589.0,57642.0,57762.0,57797.0,58023.0,58246.0,58612.0,59027.0,59103.0,59073.0,58864.0,58835.0,58824.0,58918.0,59009.0,59151.0,59247.0,59361.0,59454.0,59455.0,59744.0
1009,Osage ,35630.0,35316.0,35320.0,35247.0,35225.0,35106.0,35022.0,34908.0,34885.0,34874.0,34829.0,34913.0,34964.0,35020.0,34912.0,34910.0,34881.0,34975.0,35033.0,35111.0,35109.0,35087.0,35097.0,35111.0,35117.0,35185.0,35186.0,35186.0,35169.0,35180.0,35187.0,35195.0,35245.0,35321.0,35406.0,35490.0,35624.0,35693.0,35808.0,35854.0,35968.0,36013.0,36080.0,36113.0,36190.0,36286.0,36354.0,36404.0,36513.0,36670.0,36858.0,36961.0,37030.0,37103.0,37184.0,37313.0,37390.0,37454.0,37527.0,37608.0,37573.0,37519.0,37428.0,37497.0,37551.0,37620.0,37682.0,37803.0,37921.0,38061.0,38287.0,38546.0,38788.0,38959.0,39146.0,39303.0,39419.0,39515.0,39615.0,39587.0,39621.0,39608.0,39478.0,39377.0,39481.0,39803.0,40104.0,40227.0,40446.0,40694.0,40907.0,41126.0,41290.0,41573.0,41735.0,41846.0,41739.0,41632.0,41608.0,41934.0,42283.0,42592.0,42875.0,43186.0,43538.0,43737.0,44008.0,44261.0,44580.0,44906.0,45242.0,45512.0,45647.0,45892.0,45976.0,46062.0,45962.0,46032.0,46165.0,46322.0,46488.0,46603.0,46674.0,46656.0,46715.0,46709.0,46850.0,46981.0
1142,Mayes ,65725.0,65352.0,64900.0,64032.0,64034.0,63933.0,63815.0,63522.0,63862.0,64259.0,64202.0,63757.0,62681.0,62244.0,62076.0,62471.0,62517.0,62461.0,62431.0,62569.0,62332.0,61864.0,61595.0,61501.0,61777.0,62022.0,62190.0,62319.0,62343.0,62376.0,62375.0,62444.0,62610.0,62629.0,62597.0,62551.0,62795.0,62999.0,63209.0,63298.0,63397.0,63645.0,63896.0,64088.0,64242.0,64750.0,65354.0,65915.0,66115.0,66359.0,66620.0,66926.0,67246.0,67503.0,67756.0,67918.0,68120.0,68281.0,68477.0,68728.0,68931.0,69093.0,69168.0,69237.0,69348.0,69490.0,69648.0,69859.0,70046.0,70033.0,70033.0,70081.0,70341.0,70453.0,70619.0,70803.0,71041.0,71230.0,71427.0,71733.0,71934.0,72186.0,72274.0,72369.0,72494.0,72796.0,73132.0,73371.0,73517.0,73657.0,73861.0,73977.0,74294.0,74633.0,74943.0,75206.0,75441.0,75878.0,76257.0,76701.0,77079.0,77421.0,77593.0,77783.0,78019.0,78417.0,78549.0,78591.0,78567.0,78906.0,79300.0,79736.0,80233.0,80831.0,81191.0,81426.0,81501.0,81709.0,82148.0,82688.0,83301.0,83519.0,83738.0,83934.0,84157.0,84348.0,84821.0,85420.0
1166,Okmulgee ,28696.0,28494.0,28217.0,27879.0,27846.0,27818.0,27702.0,27533.0,27366.0,27369.0,27230.0,27047.0,26739.0,26632.0,26595.0,26573.0,26525.0,26447.0,26386.0,26368.0,26358.0,26104.0,25863.0,25634.0,25626.0,25617.0,25608.0,25584.0,25516.0,25464.0,25484.0,25461.0,25451.0,25453.0,25599.0,25732.0,25793.0,25806.0,25822.0,25886.0,25938.0,25965.0,26027.0,26099.0,26214.0,26352.0,26425.0,26450.0,26417.0,26444.0,26469.0,26550.0,26617.0,26769.0,26842.0,26964.0,26987.0,27048.0,27057.0,27160.0,27409.0,27691.0,27962.0,28068.0,28175.0,28224.0,28302.0,28363.0,28471.0,28681.0,28884.0,29060.0,29071.0,29075.0,29099.0,29191.0,29301.0,29414.0,29553.0,29640.0,29717.0,29699.0,29775.0,29862.0,29992.0,30071.0,30147.0,30269.0,30370.0,30480.0,30552.0,30687.0,30787.0,30863.0,30817.0,30860.0,30942.0,31129.0,31199.0,31279.0,31379.0,31456.0,31435.0,31417.0,31542.0,31726.0,31842.0,31809.0,31740.0,31755.0,31805.0,31878.0,31949.0,32124.0,32344.0,32423.0,32376.0,32347.0,32439.0,32596.0,32757.0,32811.0,32896.0,32946.0,32991.0,32968.0,32966.0,33062.0
