,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
101,Tulsa ,54949.0,54885.0,54902.0,55147.0,55533.0,55713.0,55214.0,54653.0,54106.0,53731.0,53174.0,52823.0,52699.0,52366.0,51883.0,51436.0,51070.0,50643.0,50396.0,50369.0,50448.0,50368.0,50159.0,50098.0,50306.0,50626.0,50872.0,50783.0,50998.0,51041.0,51122.0,50815.0,50546.0,50625.0,50978.0,51111.0,50677.0,50282.0,49967.0,50189.0,50045.0,50104.0,50161.0,50546.0,50904.0,51039.0,51066.0,51152.0,51354.0,51563.0,51738.0,51708.0,51886.0,52120.0,52476.0,52456.0,52363.0,52418.0,52629.0,52707.0,52806.0,52873.0,53136.0,53232.0,53091.0,52877.0,52433.0,52259.0,52047.0,51670.0,51124.0,50586.0,50483.0,50395.0,50346.0,50345.0,50642.0,51107.0,51757.0,52309.0,52832.0,53342.0,54002.0,54863.0,55421.0,56006.0,56320.0,56597.0,56757.0,56622.0,56572.0,56363.0,56561.0,56626.0,56707.0,56814.0,57154.0,57591.0,58009.0,58438.0,58658.0,58804.0,58889.0,59332.0,59438.0,59668.0,59795.0,60175.0,60104.0,59627.0,59139.0,58698.0,58717.0,59064.0,59549.0,59876.0,60085.0,60425.0,60760.0,60867.0,61260.0,61917.0,62657.0,63384.0,63877.0,64210.0,64459.0,64721.0
644,Rogers ,69683.0,69618.0,69896.0,69780.0,69763.0,69771.0,70101.0,70473.0,70698.0,70876.0,70610.0,70110.0,69235.0,68589.0,68297.0,68493.0,68538.0,68693.0,68690.0,68761.0,68832.0,69512.0,70252.0,71323.0,72017.0,72095.0,71906.0,71384.0,71646.0,71575.0,71465.0,70796.0,70343.0,69796.0,69783.0,69900.0,70194.0,71155.0,72000.0,73868.0,75033.0,76038.0,76450.0,77477.0,78617.0,79008.0,78894.0,77983.0,77865.0,77414.0,77441.0,75994.0,74833.0,73858.0,73713.0,73716.0,73406.0,73704.0,73590.0,74235.0,74683.0,75063.0,74835.0,74430.0,73871.0,73508.0,73725.0,73781.0,73987.0,73949.0,74058.0,74131.0,73528.0,73589.0,73858.0,75408.0,76793.0,78319.0,78742.0,79077.0,79140.0,78883.0,79086.0,78654.0,78915.0,78932.0,79209.0,78833.0,78209.0,78032.0,77988.0,78103.0,78574.0,80273.0,82186.0,84399.0,85835.0,86096.0,86422.0,86485.0,88115.0,89000.0,90533.0,91402.0,92191.0,92138.0,91592.0,90681.0,90023.0,90295.0,90854.0,92217.0,93114.0,93945.0,94634.0,95596.0,96712.0,97702.0,98889.0,100336.0,101833.0,103168.0,104083.0,104519.0,104493.0,104768.0,104751.0,104749.0
734,Wagoner ,53249.0,52990.0,52901.0,52716.0,52585.0,52414.0,52479.0,52544.0,52664.0,52736.0,52633.0,52818.0,52795.0,53167.0,53326.0,53477.0,53306.0,53126.0,52857.0,52748.0,52615.0,52666.0,52770.0,52796.0,52587.0,52358.0,52128.0,52119.0,52254.0,52487.0,52737.0,52726.0,52676.0,52683.0,52757.0,52864.0,53013.0,53081.0,53234.0,53311.0,53453.0,53564.0,53655.0,53928.0,54102.0,53993.0,53837.0,53764.0,53957.0,53832.0,53595.0,53468.0,53751.0,54387.0,55145.0,55747.0,56224.0,56464.0,56670.0,56840.0,57275.0,58195.0,59159.0,59703.0,59596.0,58769.0,58018.0,57470.0,57691.0,58295.0,58911.0,59000.0,59159.0,59770.0,60974.0,62284.0,63321.0,64296.0,64533.0,64834.0,64643.0,65063.0,65836.0,67798.0,69189.0,69380.0,68582.0,67809.0,67555.0,67610.0,68389.0,69106.0,70143.0,70974.0,71861.0,72027.0,71428.0,70682.0,69779.0,69578.0,69620.0,70853.0,72418.0,74215.0,74705.0,74529.0,73114.0,71937.0,71122.0,71063.0,71303.0,70620.0,70669.0,70572.0,70503.0,69938.0,69756.0,70311.0,71707.0,73120.0,74761.0,76214.0,77777.0,79861.0,81265.0,82268.0,83156.0,84573.0
744,Muskogee ,29725.0,29829.0,30006.0,30198.0,30202.0,30150.0,30139.0,30155.0,30149.0,29778.0,29316.0,28907.0,28720.0,28519.0,28388.0,28269.0,28292.0,28304.0,28304.0,28126.0,27919.0,27625.0,27475.0,27416.0,27458.0,27490.0,27548.0,27719.0,27911.0,27957.0,27940.0,28056.0,28288.0,28607.0,28770.0,28914.0,28908.0,29013.0,28949.0,28837.0,28585.0,28536.0,28689.0,28756.0,28671.0,28722.0,28944.0,29158.0,29330.0,29365.0,29582.0,29555.0,29640.0,29640.0,29596.0,29644.0,29728.0,29977.0,30124.0,30228.0,30019.0,29778.0,29541.0,29657.0,29896.0,30182.0,30466.0,30646.0,30835.0,30555.0,30371.0,30155.0,30507.0,30870.0,31157.0,31247.0,31170.0,31058.0,30895.0,30815.0,30745.0,30864.0,30822.0,30871.0,30730.0,30830.0,30927.0,31119.0,31215.0,31331.0,31422.0,31428.0,31425.0,31468.0,31562.0,31653.0,31701.0,31553.0,31396.0,31180.0,31273.0,31405.0,31505.0,31571.0,31673.0,31834.0,31895.0,31904.0,31853.0,31969.0,32091.0,32279.0,32259.0,32329.0,32462.0,32756.0,32906.0,32989.0,33146.0,33327.0,33590.0,33764.0,33932.0,34058.0,34216.0,34273.0,34297.0,34219.0
752,Creek ,48707.0,48414.0,48109.0,48026.0,47952.0,47992.0,47843.0,47839.0,47762.0,47903.0,47911.0,47949.0,47941.0,48075.0,48197.0,48232.0,48093.0,47958.0,47831.0,47785.0,47784.0,47699.0,47564.0,47347.0,47391.0,47447.0,47523.0,47524.0,47612.0,47671.0,47776.0,47841.0,47973.0,47973.0,48066.0,48172.0,48380.0,48553.0,48619.0,48707.0,48757.0,48999.0,49143.0,49301.0,49377.0,49415.0,49394.0,49455.0,49472.0,49560.0,49670.0,49768.0,49853.0,49937.0,50062.0,50127.0,49996.0,50298.0,50742.0,51168.0,51416.0,51566.0,51908.0,52120.0,52442.0,52501.0,52748.0,53096.0,53753.0,53788.0,53623.0,53440.0,53703.0,54016.0,54169.0,54425.0,54556.0,54832.0,54826.0,54956.0,54863.0,55051.0,55205.0,55478.0,55425.0,55472.0,55498.0,55745.0,55903.0,56076.0,56466.0,56566.0,56906.0,57160.0,57723.0,57943.0,57958.0,57489.0,57208.0,56863.0,57063.0,57218.0,57543.0,57841.0,58097.0,58276.0,58362.0,58587.0,59044.0,59945.0,60786.0,61131.0,61037.0,60737.0,60963.0,61301.0,61792.0,62042.0,62277.0,62577.0,62867.0,63036.0,63178.0,63705.0,64339.0,65169.0,65475.0,65784.0
955,Washington ,42564.0,42176.0,41886.0,41937.0,41878.0,41689.0,41293.0,40950.0,40473.0,40181.0,39902.0,39607.0,39201.0,39033.0,38900.0,38781.0,38667.0,38582.0,38718.0,38858.0,39106.0,39199.0,39186.0,39195.0,39396.0,39464.0,39378.0,39204.0,39152.0,39331.0,39441.0,39548.0,39583.0,39756.0,40060.0,40301.0,40424.0,40531.0,40717.0,40976.0,41097.0,41135.0,41065.0,41044.0,41046.0,40960.0,40807.0,40755.0,40884.0,41092.0,41289.0,41340.0,41393.0,41319.0,41400.0,41365.0,41492.0,41788.0,42194.0,42501.0,42536.0,42628.0,42755.0,42997.0,43472.0,43836.0,44113.0,44059.0,44032.0,43502.0,43056.0,42642.0,42727.0,42640.0,42566.0,42485.0,42119.0,42081.0,41956.0,42560.0,42869.0,43592.0,43957.0,44319.0,44338.0,44227.0,44029.0,43919.0,44091.0,44202.0,44417.0,44445.0,44477.0,44399.0,44592.0,44952.0,45497.0,46180.0,46949.0,47414.0,47684.0,47724.0,47814.0,47962.0,48395.0,49000.0,49210.0,49226.0,48974.0,49004.0,48887.0,48933.0,49217.0,49906.0,50376.0,50231.0,49790.0,49369.0,49362.0,49424.0,49675.0,49716.0,49876.0,50075.0,50167.0,50106.0,50202.0,50806.0
1002,Osage ,36666.0,36706.0,36908.0,36881.0,36930.0,36865.0,36861.0,36730.0,36600.0,36553.0,36405.0,36198.0,35883.0,35681.0,35381.0,35283.0,35108.0,35243.0,35261.0,35437.0,35435.0,35372.0,35283.0,35300.0,35222.0,35126.0,35039.0,35027.0,35022.0,34859.0,34792.0,34634.0,34675.0,34686.0,34839.0,34993.0,35528.0,35965.0,36346.0,36382.0,36520.0,36680.0,36765.0,36816.0,36866.0,37093.0,37233.0,37325.0,37054.0,36864.0,36703.0,36774.0,36754.0,36780.0,36776.0,36871.0,36842.0,37013.0,37153.0,37296.0,37228.0,37249.0,37319.0,37498.0,37612.0,37671.0,37847.0,38111.0,38503.0,38297.0,38156.0,37995.0,38216.0,38221.0,38243.0,38171.0,38179.0,38166.0,38250.0,38139.0,38046.0,38088.0,38194.0,38327.0,38595.0,39028.0,39323.0,39424.0,39581.0,39873.0,40188.0,40598.0,40809.0,41102.0,41091.0,41149.0,41046.0,40938.0,41183.0,41550.0,41882.0,42045.0,42090.0,42206.0,42326.0,42608.0,43179.0,43779.0,44117.0,44549.0,44821.0,45705.0,46406.0,47148.0,47243.0,47232.0,47243.0,47318.0,47298.0,47191.0,47340.0,47394.0,47421.0,46945.0,46611.0,46296.0,46518.0,46751.0
1133,Mayes ,55820.0,55705.0,55687.0,55245.0,55464.0,55580.0,55719.0,55392.0,55888.0,56227.0,56240.0,55776.0,55298.0,55561.0,56051.0,56721.0,56968.0,57054.0,57000.0,57278.0,56966.0,56617.0,56313.0,56357.0,56450.0,56498.0,56461.0,56599.0,56533.0,56487.0,56368.0,56422.0,56675.0,56984.0,57273.0,57453.0,57663.0,57826.0,57827.0,57649.0,57666.0,57890.0,58270.0,58337.0,58559.0,58948.0,59470.0,59859.0,59895.0,60026.0,60337.0,60788.0,61133.0,61388.0,61569.0,61698.0,61625.0,61588.0,61777.0,61984.0,62353.0,62620.0,62925.0,62983.0,63060.0,63217.0,63394.0,63639.0,63796.0,63533.0,63161.0,63006.0,63221.0,63221.0,63131.0,63283.0,63513.0,63617.0,63695.0,63953.0,64195.0,64390.0,64394.0,64464.0,64414.0,64593.0,64680.0,64753.0,64768.0,64853.0,65017.0,65049.0,65297.0,65674.0,66087.0,66192.0,66292.0,66538.0,66992.0,67458.0,67754.0,67956.0,67946.0,68099.0,68297.0,68664.0,68768.0,68825.0,68891.0,69280.0,69639.0,70070.0,70600.0,71469.0,71996.0,72284.0,72273.0,72431.0,72881.0,73536.0,74250.0,74644.0,75034.0,75405.0,75850.0,76121.0,76821.0,77718.0
1155,Okmulgee ,28317.0,28080.0,27880.0,27729.0,27574.0,27457.0,27347.0,27389.0,27313.0,27276.0,27210.0,27100.0,26860.0,26719.0,26611.0,26695.0,26778.0,26939.0,26971.0,26953.0,26956.0,26844.0,26695.0,26583.0,26676.0,26754.0,26865.0,26723.0,26683.0,26598.0,26695.0,26798.0,26825.0,26738.0,26750.0,26788.0,26915.0,27037.0,27020.0,27204.0,27222.0,27312.0,27313.0,27281.0,27417.0,27601.0,27822.0,27952.0,27879.0,27877.0,27892.0,27914.0,27983.0,27935.0,27908.0,27933.0,27946.0,28141.0,28239.0,28449.0,28800.0,29121.0,29481.0,29549.0,29658.0,29815.0,30049.0,30196.0,30363.0,30444.0,30530.0,30480.0,30372.0,30259.0,30237.0,30427.0,30627.0,30805.0,30888.0,31065.0,31140.0,31148.0,31152.0,31270.0,31423.0,31564.0,31659.0,31816.0,31926.0,32014.0,32104.0,32171.0,32306.0,32383.0,32434.0,32600.0,32833.0,33123.0,33209.0,33190.0,33235.0,33278.0,33301.0,33311.0,33476.0,33705.0,33910.0,33838.0,33762.0,33847.0,34064.0,34304.0,34421.0,34575.0,34784.0,34843.0,34805.0,34731.0,34742.0,34888.0,35000.0,34965.0,34936.0,34921.0,34981.0,35020.0,35032.0,35163.0
