,DATE,Creek,Mayes,Muskogee,Okmulgee,Osage,Rogers,Tulsa,Wagoner,Washington
0,2010-01-01,14.9,11.9,17.5,13.5,17.8,21.2,28.8,20.8,26.1
1,2011-01-01,15.0,13.6,17.3,13.6,17.6,22.2,29.2,21.9,26.1
2,2012-01-01,15.7,13.9,17.7,14.0,16.4,22.9,29.5,22.1,25.4
3,2013-01-01,15.3,15.3,17.9,13.9,16.1,23.0,29.7,21.6,25.2
4,2014-01-01,15.0,15.9,18.7,14.5,16.2,23.1,30.0,21.5,26.1
5,2015-01-01,15.0,16.3,18.4,15.2,16.1,23.4,30.4,21.8,26.9
6,2016-01-01,15.6,15.3,19.2,15.6,16.9,23.2,30.7,21.8,26.3
7,2017-01-01,15.6,15.4,18.9,14.6,18.0,23.5,30.9,22.7,27.0
8,2018-01-01,16.3,14.6,19.5,14.1,17.6,24.3,31.2,23.3,28.6
