,designatedArea,incidentType
35073,Okmulgee ,Hurricane
35326,Washington ,Severe Ice Storm
35364,Creek ,Hurricane
35580,Wagoner ,Hurricane
35646,Tulsa ,Hurricane
38531,Rogers ,Severe Ice Storm
38559,Tulsa ,Severe Ice Storm
38563,Washington ,Severe Ice Storm
38567,Wagoner ,Severe Ice Storm
38576,Creek ,Severe Ice Storm
38658,Mayes ,Severe Ice Storm
38666,Muskogee ,Severe Ice Storm
38671,Okmulgee ,Severe Ice Storm
38679,Osage ,Severe Ice Storm
38688,Okmulgee ,Severe Ice Storm
38721,Rogers ,Severe Ice Storm
38728,Tulsa ,Severe Ice Storm
38742,Mayes ,Severe Ice Storm
38748,Osage ,Severe Ice Storm
38766,Wagoner ,Severe Ice Storm
38787,Washington ,Severe Ice Storm
38789,Creek ,Severe Ice Storm
38795,Muskogee ,Severe Ice Storm
40007,Osage ,Severe Storm(s)
40022,Muskogee ,Severe Storm(s)
40027,Washington ,Severe Storm(s)
40053,Rogers ,Severe Storm(s)
40054,Mayes ,Severe Storm(s)
40073,Tulsa ,Severe Storm(s)
40139,Wagoner ,Severe Storm(s)
40166,Okmulgee ,Severe Storm(s)
40170,Creek ,Severe Storm(s)
40248,Muskogee ,Severe Storm(s)
40252,Okmulgee ,Severe Storm(s)
40256,Mayes ,Severe Storm(s)
40296,Creek ,Severe Storm(s)
40303,Wagoner ,Severe Storm(s)
40320,Rogers ,Severe Storm(s)
40393,Tulsa ,Severe Storm(s)
40401,Washington ,Severe Storm(s)
40403,Osage ,Severe Storm(s)
43135,Muskogee ,Flood
43140,Wagoner ,Flood
43235,Tulsa ,Flood
43242,Osage ,Flood
44268,Creek ,Fire
44709,Okmulgee ,Tornado
45986,Rogers ,Severe Storm(s)
46005,Creek ,Severe Storm(s)
46006,Muskogee ,Severe Storm(s)
46022,Tulsa ,Severe Storm(s)
46033,Mayes ,Severe Storm(s)
46047,Okmulgee ,Severe Storm(s)
46051,Wagoner ,Severe Storm(s)
46601,Mayes ,Severe Storm(s)
46746,Okmulgee ,Severe Storm(s)
46791,Osage ,Severe Storm(s)
46819,Muskogee ,Severe Storm(s)
47451,Muskogee ,Severe Storm(s)
47593,Mayes ,Severe Storm(s)
47643,Rogers ,Severe Storm(s)
47919,Okmulgee ,Tornado
48338,Muskogee ,Tornado
49158,Creek ,Severe Storm(s)
49226,Osage ,Severe Storm(s)
49273,Rogers ,Severe Storm(s)
49393,Mayes ,Severe Storm(s)
49404,Okmulgee ,Severe Storm(s)
49410,Tulsa ,Severe Storm(s)
49478,Muskogee ,Severe Storm(s)
49527,Washington ,Severe Storm(s)
49662,Wagoner ,Severe Storm(s)
49923,Creek ,Fire
49934,Creek ,Fire
50036,Creek ,Fire
50041,Washington ,Fire
50097,Wagoner ,Fire
50357,Okmulgee ,Severe Storm(s)
50362,Osage ,Severe Storm(s)
50500,Creek (OTSA,Severe Storm(s)
54847,Creek-Seminole Joint Area (OTSA,Biological
54848,Creek (OTSA,Biological
54861,Osage Indian Reservation,Biological
54891,Creek ,Biological
54921,Mayes ,Biological
54923,Muskogee ,Biological
54928,Osage ,Biological
54929,Okmulgee ,Biological
