,designatedArea,incidentType
26353,Cleveland ,Severe Ice Storm
26427,Cleveland ,Severe Storm(s)
26887,Canadian ,Severe Ice Storm
27299,Canadian ,Severe Storm(s)
27536,Grady ,Severe Ice Storm
27640,Logan ,Severe Storm(s)
27667,Logan ,Severe Storm(s)
27818,Logan ,Severe Ice Storm
27882,Logan ,Severe Storm(s)
27996,Pottawatomie ,Severe Ice Storm
28056,Grady ,Fire
28124,Lincoln ,Severe Ice Storm
28240,Oklahoma ,Severe Storm(s)
28325,Lincoln ,Severe Storm(s)
28454,Oklahoma ,Fire
28479,Canadian ,Fire
28519,Grady ,Severe Storm(s)
28584,Logan ,Severe Storm(s)
28661,Cleveland ,Fire
28819,Pottawatomie ,Severe Storm(s)
28957,Lincoln ,Fire
29048,Payne ,Fire
29458,Oklahoma ,Fire
29520,Logan ,Fire
29550,Canadian ,Severe Ice Storm
29681,Oklahoma ,Fire
29768,Pottawatomie ,Fire
29867,Kingfisher ,Fire
29896,Pottawatomie ,Fire
30090,Cleveland ,Fire
30114,Grady ,Severe Storm(s)
30171,Logan ,Severe Storm(s)
30411,Oklahoma ,Fire
30754,Oklahoma ,Fire
30874,Oklahoma ,Fire
30912,Oklahoma ,Fire
31102,Oklahoma ,Fire
31147,Oklahoma ,Fire
31168,Logan ,Fire
31321,Payne ,Fire
31720,Canadian ,Severe Storm(s)
31910,Cleveland ,Fire
32117,Payne ,Fire
32444,Oklahoma ,Fire
32541,Cleveland ,Fire
32544,Oklahoma ,Severe Ice Storm
33067,Payne ,Fire
33458,Pottawatomie ,Severe Ice Storm
33574,Pottawatomie ,Fire
33604,Lincoln ,Severe Ice Storm
33684,Cleveland ,Hurricane
34267,Kingfisher ,Hurricane
34311,Pottawatomie ,Hurricane
34326,Logan ,Hurricane
34346,Cleveland ,Fire
34414,Grady ,Severe Ice Storm
34564,Cleveland ,Severe Ice Storm
34612,Oklahoma ,Hurricane
35371,Garfield ,Hurricane
35602,Canadian ,Hurricane
35715,Lincoln ,Hurricane
35837,Grady ,Hurricane
36077,Payne ,Hurricane
38520,Garfield ,Severe Ice Storm
38532,Grady ,Severe Ice Storm
38540,Pottawatomie ,Severe Ice Storm
38545,Lincoln ,Severe Ice Storm
38550,Logan ,Severe Ice Storm
38562,Cleveland ,Severe Ice Storm
38571,Kingfisher ,Severe Ice Storm
38581,Canadian ,Severe Ice Storm
38664,Payne ,Severe Ice Storm
38674,Oklahoma ,Severe Ice Storm
38689,Pottawatomie ,Severe Ice Storm
38690,Oklahoma ,Severe Ice Storm
38702,Kingfisher ,Severe Ice Storm
38714,Canadian ,Severe Ice Storm
38722,Grady ,Severe Ice Storm
38723,Garfield ,Severe Ice Storm
38746,Lincoln ,Severe Ice Storm
38757,Logan ,Severe Ice Storm
38765,Payne ,Severe Ice Storm
38793,Cleveland ,Severe Ice Storm
40003,Payne ,Severe Storm(s)
40011,Logan ,Severe Storm(s)
40038,Garfield ,Severe Storm(s)
40049,Pottawatomie ,Severe Storm(s)
40050,Grady ,Severe Storm(s)
40057,Kingfisher ,Severe Storm(s)
40079,Cleveland ,Severe Storm(s)
40092,Canadian ,Severe Storm(s)
40100,Lincoln ,Severe Storm(s)
40174,Oklahoma ,Severe Storm(s)
40261,Lincoln ,Severe Storm(s)
40273,Pottawatomie ,Severe Storm(s)
40278,Garfield ,Severe Storm(s)
40281,Canadian ,Severe Storm(s)
40289,Cleveland ,Severe Storm(s)
40293,Oklahoma ,Severe Storm(s)
40306,Kingfisher ,Severe Storm(s)
40315,Grady ,Severe Storm(s)
40384,Logan ,Severe Storm(s)
40395,Payne ,Severe Storm(s)
44180,Cleveland ,Fire
44677,Kingfisher ,Severe Storm(s)
44681,Garfield ,Severe Storm(s)
44725,Lincoln ,Tornado
44735,Cleveland ,Tornado
44737,Oklahoma ,Tornado
44747,Canadian ,Tornado
44767,Pottawatomie ,Tornado
46010,Kingfisher ,Severe Storm(s)
46016,Lincoln ,Severe Storm(s)
46044,Logan ,Severe Storm(s)
46048,Oklahoma ,Severe Storm(s)
46049,Pottawatomie ,Severe Storm(s)
46071,Grady ,Severe Storm(s)
46079,Cleveland ,Severe Storm(s)
46082,Canadian ,Severe Storm(s)
46559,Oklahoma ,Severe Ice Storm
46654,Kingfisher ,Severe Ice Storm
46655,Grady ,Severe Ice Storm
46656,Logan ,Severe Ice Storm
46674,Canadian ,Severe Storm(s)
46705,Canadian ,Severe Ice Storm
46738,Grady ,Severe Storm(s)
46778,Garfield ,Severe Ice Storm
46868,Kingfisher ,Severe Storm(s)
47164,Grady ,Flood
47891,Logan ,Severe Storm(s)
48002,Lincoln ,Severe Storm(s)
49397,Canadian ,Severe Storm(s)
49456,Garfield ,Severe Storm(s)
49618,Kingfisher ,Severe Storm(s)
49637,Payne ,Severe Storm(s)
49639,Logan ,Severe Storm(s)
49641,Pottawatomie ,Severe Storm(s)
49879,Payne ,Fire
49887,Oklahoma ,Fire
49941,Payne ,Fire
49958,Logan ,Fire
50145,Cleveland ,Fire
50183,Pottawatomie ,Fire
50361,Lincoln ,Severe Storm(s)
50382,Lincoln ,Severe Storm(s)
50385,Grady ,Severe Storm(s)
54881,Canadian ,Biological
54885,Cleveland ,Biological
54894,Garfield ,Biological
54898,Grady ,Biological
54910,Kingfisher ,Biological
54913,Lincoln ,Biological
54914,Logan ,Biological
54927,Oklahoma ,Biological
54931,Payne ,Biological
54935,Pottawatomie ,Biological
58475,Canadian ,Biological
58480,Cleveland ,Biological
58490,Garfield ,Biological
58492,Grady ,Biological
58503,Kingfisher ,Biological
58507,Lincoln ,Biological
58508,Logan ,Biological
58521,Oklahoma ,Biological
58526,Payne ,Biological
58529,Pottawatomie ,Biological
