,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
80,Oklahoma ,48207.0,48982.0,49506.0,49733.0,49769.0,49572.0,49405.0,49155.0,49085.0,48757.0,48215.0,47655.0,47465.0,47225.0,47261.0,47104.0,47251.0,47108.0,47214.0,47323.0,47520.0,47640.0,47525.0,47369.0,46930.0,46523.0,45933.0,45736.0,45315.0,45097.0,44686.0,44633.0,44326.0,44063.0,43985.0,44187.0,44481.0,44460.0,44598.0,44747.0,45029.0,45325.0,45658.0,45614.0,45721.0,45717.0,45865.0,45856.0,46208.0,46772.0,47264.0,47425.0,47566.0,47738.0,47901.0,48385.0,48842.0,49470.0,49769.0,49830.0,49669.0,49438.0,49492.0,49577.0,49799.0,50073.0,50310.0,50396.0,50502.0,50804.0,51199.0,51859.0,52336.0,53119.0,53526.0,54113.0,54205.0,54340.0,54679.0,55020.0,55208.0,55010.0,55061.0,55009.0,54796.0,54554.0,54589.0,54950.0,55683.0,56358.0,56927.0,57407.0,57988.0,58655.0,59218.0,59925.0,60750.0,60997.0,61045.0,61036.0,61275.0,60891.0,60183.0,59346.0,59059.0,59304.0,59792.0,60427.0,60649.0,61109.0,61087.0,61278.0,61104.0,61860.0,62666.0,63890.0,64621.0,65030.0,65170.0,65150.0,65456.0,65857.0,66694.0,67288.0,67961.0,68164.0,68487.0,68545.0
252,Cleveland ,61367.0,61818.0,61889.0,61318.0,60500.0,60364.0,60182.0,59874.0,59326.0,58777.0,58025.0,57591.0,56861.0,56449.0,56180.0,56364.0,56503.0,56753.0,56673.0,56747.0,56528.0,56576.0,56679.0,56645.0,56966.0,57167.0,57181.0,56704.0,56385.0,55979.0,56053.0,56394.0,57393.0,58401.0,59315.0,60102.0,61096.0,61934.0,62812.0,63424.0,63757.0,63908.0,64119.0,64494.0,64720.0,64955.0,64916.0,65026.0,64429.0,64411.0,64288.0,64870.0,65389.0,66205.0,66490.0,66483.0,66050.0,66035.0,66415.0,67238.0,68188.0,69014.0,69803.0,70189.0,70729.0,71485.0,72658.0,73930.0,75003.0,75142.0,74357.0,72513.0,70921.0,69589.0,69217.0,69280.0,69781.0,69668.0,69615.0,69220.0,69754.0,70520.0,71840.0,73252.0,74754.0,75871.0,76168.0,76475.0,76080.0,75843.0,75257.0,75056.0,74495.0,73989.0,74171.0,74585.0,74517.0,73674.0,73785.0,73895.0,74682.0,74754.0,74954.0,74715.0,74103.0,73251.0,72461.0,71904.0,72109.0,72765.0,73031.0,73106.0,72806.0,73466.0,73929.0,74706.0,75580.0,76928.0,77900.0,78683.0,79152.0,79790.0,80498.0,81445.0,82572.0,83330.0,84321.0,85267.0
514,Canadian ,108446.0,109499.0,110499.0,111460.0,111786.0,112378.0,111525.0,112012.0,111991.0,113606.0,115363.0,117294.0,118947.0,119395.0,118249.0,115523.0,112205.0,109007.0,107118.0,105244.0,103472.0,100926.0,99306.0,97990.0,97296.0,97420.0,98364.0,100100.0,102423.0,104678.0,106824.0,108450.0,110420.0,112417.0,112848.0,111681.0,109301.0,107552.0,107515.0,108852.0,110188.0,111412.0,112483.0,112369.0,110746.0,108844.0,109794.0,113166.0,116366.0,117557.0,117469.0,117024.0,116565.0,115211.0,113809.0,113662.0,114178.0,114614.0,112875.0,111157.0,111665.0,114493.0,116721.0,116886.0,116657.0,117081.0,118151.0,119526.0,122027.0,124741.0,126728.0,126679.0,124209.0,121112.0,117663.0,115609.0,113673.0,112244.0,110109.0,107636.0,105331.0,102198.0,99427.0,96215.0,94120.0,91516.0,89537.0,87686.0,86117.0,83803.0,81397.0,78926.0,76090.0,74334.0,73106.0,72902.0,71953.0,70373.0,69037.0,67890.0,66588.0,65796.0,65276.0,65267.0,65368.0,66124.0,67360.0,68075.0,68073.0,68546.0,68902.0,69466.0,70240.0,71551.0,73057.0,74167.0,75015.0,74840.0,74300.0,73870.0,74314.0,74767.0,75102.0,75100.0,74933.0,74120.0,73005.0,71938.0
696,Payne ,55459.0,55111.0,54724.0,54091.0,53631.0,53265.0,53498.0,53397.0,53294.0,52902.0,52631.0,52350.0,52371.0,52518.0,52818.0,52896.0,52982.0,52919.0,52757.0,52697.0,52810.0,52807.0,52834.0,52792.0,52933.0,52990.0,53034.0,53182.0,53390.0,53470.0,53487.0,53178.0,52852.0,52667.0,52703.0,52822.0,52751.0,52674.0,52477.0,52343.0,52132.0,52164.0,52140.0,52309.0,52453.0,52573.0,52565.0,52427.0,52311.0,52316.0,52525.0,52684.0,52795.0,52896.0,53066.0,53447.0,53637.0,53929.0,54131.0,54440.0,54471.0,54648.0,54801.0,55228.0,55595.0,55755.0,55831.0,55669.0,55817.0,55759.0,56148.0,56453.0,57051.0,57113.0,57324.0,57408.0,57499.0,57517.0,57771.0,58250.0,58659.0,59042.0,58922.0,59035.0,59103.0,59540.0,59506.0,59774.0,60289.0,61143.0,61708.0,61913.0,62066.0,62392.0,62832.0,63040.0,63405.0,64004.0,64824.0,65076.0,65137.0,65195.0,65313.0,65593.0,65842.0,66270.0,66399.0,66491.0,66403.0,66843.0,67410.0,68110.0,68740.0,69215.0,69542.0,69580.0,69717.0,69779.0,70119.0,70540.0,71013.0,70879.0,70626.0,70492.0,70455.0,70455.0,70580.0,70891.0
755,Pottawatomie ,31997.0,31885.0,31754.0,31675.0,31630.0,31657.0,31684.0,31622.0,31641.0,31727.0,31960.0,32141.0,32317.0,32449.0,32734.0,32887.0,33075.0,33117.0,33149.0,33199.0,33258.0,33404.0,33456.0,33430.0,33262.0,33156.0,33100.0,33134.0,33132.0,33069.0,33033.0,32983.0,32927.0,32758.0,32709.0,32730.0,32810.0,32826.0,32764.0,32800.0,32836.0,32971.0,32999.0,33072.0,33174.0,33253.0,33195.0,33113.0,33262.0,33493.0,33770.0,33783.0,33860.0,33838.0,34084.0,34297.0,34447.0,34519.0,34652.0,34873.0,34831.0,34675.0,34502.0,34621.0,34708.0,34827.0,34628.0,34479.0,34347.0,34274.0,34187.0,34042.0,34013.0,34047.0,34030.0,33971.0,33905.0,33935.0,34094.0,34191.0,34306.0,34450.0,34625.0,34779.0,35056.0,35365.0,35696.0,35818.0,35854.0,35778.0,35744.0,35795.0,35845.0,35991.0,36019.0,36171.0,35935.0,35857.0,35788.0,35977.0,36235.0,36440.0,36468.0,36356.0,36259.0,36325.0,36488.0,36332.0,36400.0,36408.0,36517.0,36443.0,36352.0,36758.0,37202.0,37536.0,37599.0,37538.0,37580.0,37795.0,37976.0,38104.0,38136.0,38218.0,38279.0,37979.0,37703.0,37543.0
845,Garfield ,18090.0,18011.0,17917.0,17937.0,17894.0,17944.0,17886.0,17876.0,17738.0,17743.0,17650.0,17584.0,17382.0,17246.0,17061.0,17024.0,17003.0,17015.0,16984.0,17059.0,17014.0,16836.0,16611.0,16643.0,16800.0,16843.0,16935.0,16850.0,16911.0,16829.0,16909.0,16867.0,16998.0,17051.0,17170.0,17040.0,17011.0,17008.0,17081.0,17165.0,17176.0,17243.0,17231.0,17323.0,17279.0,17264.0,17173.0,17232.0,17176.0,17188.0,17111.0,17163.0,17175.0,17226.0,17213.0,17134.0,17125.0,17157.0,17310.0,17372.0,17479.0,17480.0,17503.0,17436.0,17417.0,17408.0,17483.0,17628.0,17720.0,17783.0,17715.0,17722.0,17836.0,18042.0,18199.0,18232.0,18301.0,18385.0,18490.0,18520.0,18592.0,18675.0,18824.0,18978.0,19016.0,19049.0,19086.0,19195.0,19280.0,19380.0,19526.0,19649.0,19799.0,19962.0,20139.0,20191.0,20234.0,20225.0,20324.0,20499.0,20620.0,20711.0,20656.0,20550.0,20485.0,20492.0,20574.0,20536.0,20451.0,20409.0,20427.0,20402.0,20411.0,20520.0,20700.0,20852.0,20777.0,20643.0,20531.0,20552.0,20617.0,20662.0,20599.0,20510.0,20406.0,20226.0,20039.0,19889.0
932,Grady ,36727.0,36614.0,36430.0,36407.0,36458.0,36546.0,36603.0,36692.0,36810.0,36954.0,37032.0,37040.0,36913.0,36809.0,36708.0,36792.0,36784.0,36797.0,36660.0,36592.0,36344.0,36170.0,36140.0,36295.0,36744.0,37162.0,37375.0,37279.0,37206.0,37176.0,37205.0,37174.0,37241.0,37090.0,37021.0,36927.0,36984.0,36891.0,36979.0,37049.0,37204.0,37288.0,37492.0,37631.0,37847.0,37812.0,37690.0,37446.0,37357.0,37456.0,37466.0,37606.0,37677.0,37832.0,37894.0,37914.0,37886.0,38184.0,38560.0,39040.0,39197.0,39219.0,39317.0,39361.0,39556.0,39599.0,39643.0,39843.0,40115.0,40432.0,40752.0,41031.0,41295.0,41415.0,41508.0,41685.0,41664.0,41817.0,42059.0,42280.0,42253.0,42141.0,41703.0,41415.0,41225.0,41600.0,42028.0,42333.0,42613.0,42767.0,42815.0,42858.0,43006.0,43163.0,43496.0,43775.0,44033.0,44101.0,44085.0,44179.0,44334.0,44553.0,44942.0,45286.0,45716.0,45935.0,46027.0,46036.0,46057.0,46317.0,46613.0,46972.0,47213.0,47360.0,47489.0,47621.0,47810.0,48112.0,48517.0,49000.0,49474.0,49754.0,50056.0,50298.0,50645.0,51087.0,51505.0,51973.0
1120,Logan ,66327.0,67649.0,68184.0,68560.0,68205.0,68053.0,67989.0,67834.0,67922.0,67928.0,67983.0,67326.0,65995.0,64653.0,63763.0,63436.0,63559.0,63740.0,63957.0,64293.0,64349.0,64136.0,63904.0,63889.0,64690.0,65160.0,65677.0,65698.0,65914.0,65940.0,65900.0,65701.0,65841.0,66299.0,66870.0,67377.0,66931.0,66457.0,66088.0,66290.0,65854.0,65331.0,65054.0,65358.0,65602.0,65288.0,65007.0,64887.0,65733.0,66588.0,67417.0,68003.0,68511.0,69097.0,69294.0,69621.0,69670.0,69777.0,69843.0,69926.0,69813.0,69916.0,69892.0,70084.0,70243.0,70652.0,71146.0,71561.0,72029.0,73200.0,74123.0,74801.0,74579.0,74264.0,74074.0,73708.0,73859.0,73781.0,73898.0,73868.0,74205.0,74466.0,74718.0,75132.0,75853.0,76386.0,76678.0,76868.0,76991.0,77083.0,77262.0,77110.0,76619.0,75545.0,74743.0,74499.0,74817.0,75529.0,76223.0,76859.0,77094.0,77197.0,77353.0,77816.0,78137.0,78519.0,78777.0,78867.0,78920.0,79086.0,79947.0,80638.0,81498.0,82108.0,82480.0,82682.0,82931.0,83714.0,84533.0,85182.0,85551.0,85702.0,85386.0,85297.0,85314.0,85638.0,86095.0,86584.0
1297,Lincoln ,36492.0,36700.0,37075.0,37107.0,36899.0,36604.0,36380.0,36093.0,35868.0,35676.0,35367.0,34951.0,34548.0,34402.0,34252.0,34436.0,34623.0,34793.0,34836.0,34997.0,35183.0,35091.0,34799.0,34694.0,34776.0,34734.0,34689.0,34590.0,34776.0,34845.0,34909.0,34871.0,34777.0,34920.0,35184.0,35464.0,35536.0,35610.0,35588.0,35559.0,35445.0,35547.0,35599.0,35667.0,35696.0,35745.0,35795.0,35869.0,36050.0,36318.0,36633.0,36955.0,37099.0,37239.0,37421.0,37627.0,37855.0,37978.0,38129.0,38155.0,38257.0,38396.0,38574.0,38712.0,38949.0,39069.0,39291.0,39384.0,39490.0,39746.0,40010.0,40357.0,40547.0,40699.0,40904.0,41024.0,41134.0,41209.0,41306.0,41517.0,41904.0,42089.0,42386.0,42648.0,42884.0,42869.0,42746.0,42908.0,43046.0,43274.0,43252.0,43521.0,43601.0,43860.0,43895.0,44107.0,44348.0,44890.0,45296.0,45626.0,45884.0,46272.0,46772.0,46915.0,46945.0,46795.0,46833.0,46478.0,46392.0,46222.0,46422.0,46356.0,46644.0,47023.0,47580.0,47756.0,47966.0,48272.0,48737.0,49430.0,49910.0,50373.0,50664.0,51184.0,51486.0,51658.0,51710.0,52217.0
2008,Kingfisher ,33088.0,32805.0,32430.0,32028.0,31851.0,31764.0,31733.0,31659.0,31647.0,31743.0,32055.0,32307.0,32544.0,32555.0,32559.0,32606.0,32619.0,32666.0,32629.0,32631.0,32669.0,32536.0,32434.0,32237.0,32070.0,32098.0,32322.0,32456.0,32501.0,32383.0,32511.0,32463.0,32348.0,32174.0,32055.0,32140.0,32372.0,32564.0,32611.0,32510.0,32471.0,32440.0,32445.0,32409.0,32430.0,32468.0,32412.0,32326.0,32188.0,32242.0,32231.0,32326.0,32323.0,32502.0,32549.0,32880.0,33123.0,33604.0,33966.0,34249.0,34358.0,34344.0,34537.0,34844.0,35222.0,35458.0,35621.0,35589.0,35619.0,35165.0,34686.0,34308.0,34512.0,34896.0,35057.0,35047.0,34972.0,35029.0,35099.0,35323.0,35488.0,35980.0,36773.0,37426.0,37778.0,37729.0,37831.0,37910.0,38065.0,38187.0,38414.0,38509.0,38664.0,38880.0,38956.0,39136.0,38784.0,38658.0,38535.0,38782.0,39116.0,39269.0,39414.0,39535.0,39580.0,39648.0,39687.0,39775.0,40131.0,40424.0,40872.0,41332.0,41813.0,42238.0,42446.0,42776.0,43276.0,43733.0,44159.0,44520.0,44993.0,45489.0,45830.0,45981.0,46051.0,46267.0,46640.0,46942.0
