,DATE,Creek,Mayes,Muskogee,Osage,Rogers,Tulsa,Wagoner,Washington
0,2009-01-01,76.1897087264842,75.51670531868805,70.54968730362968,81.8265576413682,82.58432442971339,65.4533692759971,80.20043377458678,76.15967473664756
1,2010-01-01,75.49109950707212,75.13726072117525,71.26996611810263,82.1220706771211,80.23478961334344,64.97302964669527,81.8307510298331,75.42403683062757
2,2011-01-01,74.71197570861965,73.74210734017363,70.01846667063799,81.53502431331319,80.88366313420238,64.5439658095772,82.23054457036653,74.65671403480759
3,2012-01-01,75.06936817157063,73.00613496932516,68.17078798886425,80.8564724286273,80.24552275208474,63.53733285682497,82.23256836004559,74.3541922939566
4,2013-01-01,74.19619587910903,75.43443917851499,68.453657374315,79.7825429077861,80.15036553585018,62.8077612099336,82.34321643449509,73.04210318244712
5,2014-01-01,75.41397255953319,75.14459439418657,68.11451282740897,78.09357707297117,79.91596831066539,62.273435159241544,80.86989216989619,73.87779199055394
6,2015-01-01,74.93055754417112,73.80810784022202,67.4471026689108,78.20515572345403,80.29572886595595,61.44708001899175,79.63934688224171,73.26872523247145
7,2016-01-01,75.11706258565555,74.12176242929444,67.7784988755905,77.89222432478925,79.99436587976787,60.944533283569115,78.72416110035176,71.41096854952276
8,2017-01-01,74.2350288291374,73.22017098253005,68.17290593224203,77.25274246909281,79.65556055830707,61.130011764331805,78.78423740546755,71.34721515519199
9,2018-01-01,74.25877735591484,72.282151516651,67.80567000045949,77.24330332817506,79.92136538289697,61.264077339501,77.9493060835277,71.99507966260543
