,County,Professional,Service,Office,Construction,Production
0,Creek ,29.6,17.2,22.2,12.2,18.8
1,Mayes ,27.4,17.5,22.3,14.5,18.3
2,Muskogee ,29.7,19.5,23.4,10.1,17.2
3,Okmulgee ,29.1,19.5,23.6,11.3,16.5
4,Osage ,31.9,17.2,22.2,12.3,16.5
5,Rogers ,34.8,15.4,24.1,11.7,13.9
6,Tulsa ,37.3,16.6,25.1,9.2,11.9
7,Wagoner ,32.7,14.6,26.6,11.7,14.3
8,Washington ,35.6,18.4,24.2,10.1,11.6
