,County,Hispanic,White,Black,Native,Asian,Pacific
0,Canadian ,8.3,77.3,2.4,3.5,3.2,0.0
1,Cleveland ,8.2,72.8,4.6,3.5,4.3,0.1
2,Garfield ,11.6,75.8,3.0,1.8,0.8,2.8
3,Grady ,5.5,82.0,2.1,4.9,0.4,0.0
4,Kingfisher ,15.2,77.3,1.1,3.1,0.0,0.0
5,Lincoln ,3.2,82.8,1.8,7.9,0.2,0.1
6,Logan ,5.7,77.8,8.6,3.5,0.5,0.1
7,Oklahoma ,16.8,56.8,14.8,2.5,3.3,0.1
8,Payne ,4.6,77.3,3.9,4.9,4.4,0.1
9,Pottawatomie ,4.9,73.0,3.1,14.0,0.7,0.1
