,CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2149,40037,Oklahoma,Creek ,70899,35142,35757,3.9,76.8,2.2,11.7,0.6,0.0,53042,47147,1518,24056,623,15.2,22.6,29.6,17.2,22.2,12.2,18.8,84.6,8.6,0.3,0.9,0.8,4.9,24.9,30227,81.6,13.1,5.1,0.2,4.2
2179,40097,Oklahoma,Mayes ,40929,20424,20505,3.3,65.4,0.5,14.3,0.4,0.3,30848,45302,1766,22575,898,19.2,26.8,27.4,17.5,22.3,14.5,18.3,81.1,12.0,0.1,1.4,0.7,4.6,23.3,17137,73.9,17.7,8.0,0.4,5.3
2181,40101,Oklahoma,Muskogee ,69471,33978,35493,5.9,56.6,10.7,18.0,0.7,0.0,51237,41329,1214,21800,812,21.9,32.3,29.7,19.5,23.4,10.1,17.2,82.2,10.4,0.5,1.6,2.0,3.3,20.5,26861,72.2,21.7,6.0,0.1,6.9
2186,40111,Oklahoma,Okmulgee ,39121,19298,19823,3.8,62.8,8.5,13.5,0.4,0.0,29448,39567,2363,21436,777,19.5,27.1,29.1,19.5,23.6,11.3,16.5,81.8,10.4,0.2,3.5,1.3,2.9,26.1,15019,75.5,18.6,5.6,0.4,10.0
2187,40113,Oklahoma,Osage ,47350,23748,23602,3.4,63.7,11.3,13.2,0.4,0.1,36217,47683,2589,24195,729,15.7,24.3,31.9,17.2,22.2,12.3,16.5,83.7,10.6,0.5,1.2,1.3,2.7,24.4,19310,76.5,17.9,5.5,0.0,6.1
2196,40131,Oklahoma,Rogers ,90098,44923,45175,4.4,72.4,1.0,11.5,1.1,0.1,67086,61320,1290,29824,842,9.4,12.8,34.8,15.4,24.1,11.7,13.9,85.5,8.9,0.1,0.6,1.5,3.4,24.2,43166,81.0,13.3,5.5,0.2,5.0
2202,40143,Oklahoma,Tulsa ,637123,310812,326311,12.1,63.0,9.8,4.4,3.0,0.1,440555,52017,462,29797,328,15.5,23.2,37.3,16.6,25.1,9.2,11.9,82.3,10.0,0.7,1.3,1.6,4.0,19.7,309735,84.7,9.7,5.4,0.2,5.9
2203,40145,Oklahoma,Wagoner ,76830,37961,38869,5.7,72.1,3.4,8.2,1.4,0.1,56249,59210,1428,27337,598,10.7,14.6,32.7,14.6,26.6,11.7,14.3,84.7,9.2,0.1,0.5,1.6,3.9,26.1,35839,81.5,12.8,5.5,0.2,6.4
2204,40147,Oklahoma,Washington ,51867,25196,26671,5.7,73.6,2.5,10.4,1.9,0.0,38264,50388,1871,28913,1049,14.0,20.7,35.6,18.4,24.2,10.1,11.6,81.8,11.0,0.1,2.3,1.0,3.7,17.7,22746,81.3,13.1,5.4,0.2,4.7
