,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
80,Oklahoma ,65090.0,65321.0,65495.0,65554.0,65697.0,65698.0,65656.0,65427.0,65215.0,64855.0,64387.0,63971.0,63701.0,63533.0,63398.0,63128.0,62863.0,62446.0,62058.0,61742.0,61551.0,61360.0,61029.0,60690.0,60289.0,59961.0,59628.0,59568.0,59568.0,59709.0,59785.0,59881.0,59688.0,59514.0,59463.0,59637.0,59799.0,59768.0,59777.0,59792.0,59704.0,59615.0,59731.0,59892.0,60186.0,60399.0,60710.0,60864.0,61215.0,61612.0,62039.0,62237.0,62630.0,63024.0,63340.0,63621.0,64008.0,64543.0,64847.0,64989.0,64932.0,64984.0,65084.0,65329.0,65451.0,65565.0,65453.0,65359.0,65186.0,65210.0,65374.0,65791.0,66339.0,66995.0,67496.0,67663.0,67667.0,67758.0,68307.0,68882.0,69410.0,69444.0,69499.0,69515.0,69335.0,69120.0,69046.0,69730.0,70560.0,71300.0,71662.0,71993.0,72353.0,73002.0,73636.0,74176.0,74610.0,74767.0,74926.0,74904.0,74946.0,74645.0,74233.0,73749.0,73619.0,73698.0,73969.0,74534.0,74929.0,75552.0,75747.0,76122.0,76373.0,77209.0,78223.0,79260.0,79972.0,80497.0,80991.0,81332.0,81946.0,82564.0,83549.0,84361.0,85242.0,85865.0,86506.0,87220.0
252,Cleveland ,86714.0,86695.0,86843.0,87238.0,87485.0,87519.0,87369.0,86949.0,86569.0,86092.0,85744.0,85570.0,85413.0,85255.0,85126.0,84808.0,84502.0,84217.0,84222.0,84554.0,84808.0,84995.0,84741.0,84599.0,84465.0,84515.0,84425.0,84459.0,84617.0,84865.0,85070.0,85169.0,85267.0,85394.0,85866.0,86159.0,86567.0,86806.0,87308.0,87702.0,87873.0,88025.0,88193.0,88474.0,88865.0,89142.0,89427.0,89842.0,90171.0,90480.0,90473.0,90591.0,90852.0,91216.0,91627.0,91933.0,92046.0,92278.0,92372.0,92878.0,93451.0,94293.0,94901.0,95307.0,95481.0,95632.0,95693.0,96037.0,96402.0,96822.0,97049.0,96450.0,95660.0,94746.0,94773.0,95180.0,96015.0,96511.0,97019.0,97135.0,97526.0,97659.0,97978.0,98610.0,99567.0,100401.0,100564.0,100588.0,100387.0,100690.0,100805.0,101007.0,100970.0,101284.0,101746.0,101965.0,101960.0,102000.0,102627.0,102992.0,103660.0,103811.0,104272.0,104483.0,104754.0,104882.0,105061.0,105381.0,105936.0,106419.0,106744.0,107087.0,107129.0,107611.0,108018.0,108762.0,109397.0,110053.0,110663.0,111288.0,111825.0,112474.0,113117.0,113948.0,114951.0,115818.0,116677.0,117442.0
515,Canadian ,71885.0,72721.0,73388.0,74017.0,75004.0,75992.0,76045.0,75404.0,74751.0,74959.0,75275.0,75689.0,75125.0,75121.0,74581.0,73763.0,72504.0,70872.0,70613.0,70717.0,71086.0,70544.0,69978.0,69242.0,69276.0,69199.0,69134.0,69173.0,68852.0,69378.0,69700.0,70679.0,71360.0,72187.0,72817.0,73575.0,73702.0,73762.0,74097.0,74719.0,75540.0,76104.0,76224.0,75724.0,75004.0,74539.0,74488.0,74407.0,74355.0,74098.0,74061.0,73864.0,74002.0,73827.0,74070.0,74430.0,74530.0,74517.0,74184.0,74414.0,74957.0,75984.0,76647.0,77340.0,77757.0,78265.0,78310.0,78678.0,80004.0,81567.0,82595.0,82725.0,82470.0,82286.0,82140.0,82340.0,82472.0,82864.0,83213.0,83370.0,83435.0,83380.0,83928.0,84313.0,85297.0,85988.0,86537.0,86424.0,86344.0,86450.0,86885.0,86861.0,85909.0,84806.0,84268.0,84626.0,85046.0,84890.0,85130.0,85034.0,85346.0,84809.0,84389.0,84394.0,85197.0,86505.0,87194.0,87849.0,87957.0,88758.0,89362.0,90460.0,91567.0,92509.0,93472.0,94043.0,94969.0,95417.0,95972.0,96178.0,96701.0,97037.0,97349.0,97552.0,97512.0,97973.0,98252.0,98674.0
698,Payne ,56255.0,56477.0,56683.0,56642.0,56556.0,56452.0,56464.0,56440.0,56390.0,56208.0,56076.0,55965.0,55994.0,56154.0,56297.0,56376.0,56474.0,56576.0,56617.0,56644.0,56807.0,56944.0,57069.0,57126.0,57234.0,57298.0,57389.0,57524.0,57625.0,57709.0,57815.0,57908.0,57978.0,58080.0,58262.0,58420.0,58545.0,58642.0,58741.0,58865.0,58915.0,58991.0,58957.0,59044.0,59126.0,59270.0,59357.0,59482.0,59590.0,59741.0,59977.0,60177.0,60487.0,60723.0,61065.0,61347.0,61601.0,61916.0,62237.0,62576.0,62678.0,62833.0,62906.0,63149.0,63347.0,63645.0,63938.0,64136.0,64310.0,64435.0,64707.0,64978.0,65415.0,65699.0,66032.0,66245.0,66482.0,66592.0,66768.0,66980.0,67278.0,67502.0,67494.0,67498.0,67627.0,68051.0,68504.0,68930.0,69218.0,69574.0,69764.0,69947.0,70036.0,70221.0,70380.0,70592.0,70699.0,70728.0,70638.0,70609.0,70770.0,71049.0,71338.0,71660.0,71991.0,72384.0,72536.0,72572.0,72587.0,73028.0,73578.0,74109.0,74605.0,74968.0,75300.0,75464.0,75666.0,75871.0,76305.0,76788.0,77296.0,77440.0,77541.0,77629.0,77673.0,77744.0,77858.0,78071.0
759,Pottawatomie ,41940.0,41872.0,41828.0,41745.0,41715.0,41685.0,41623.0,41437.0,41341.0,40934.0,40558.0,40197.0,40168.0,40123.0,40082.0,40022.0,39952.0,39815.0,39709.0,39696.0,39706.0,39650.0,39505.0,39338.0,39191.0,39150.0,39140.0,39184.0,39183.0,39165.0,39134.0,39091.0,39032.0,39013.0,39092.0,39227.0,39367.0,39445.0,39452.0,39464.0,39470.0,39545.0,39578.0,39655.0,39759.0,39869.0,39882.0,39885.0,40000.0,40152.0,40357.0,40452.0,40612.0,40685.0,40826.0,40974.0,41098.0,41413.0,41764.0,42102.0,42057.0,41952.0,41885.0,41976.0,42062.0,42172.0,42206.0,42187.0,42157.0,41764.0,41432.0,41099.0,41143.0,41148.0,41115.0,41092.0,41044.0,41045.0,41098.0,41163.0,41244.0,41451.0,41564.0,41711.0,41837.0,42097.0,42296.0,42386.0,42469.0,42550.0,42561.0,42634.0,42676.0,42965.0,43177.0,43518.0,43605.0,43768.0,43909.0,44156.0,44451.0,44657.0,44908.0,45006.0,45153.0,45197.0,45209.0,44868.0,44614.0,44553.0,44760.0,44932.0,45033.0,45361.0,45679.0,45895.0,45976.0,45993.0,46213.0,46624.0,47080.0,47317.0,47372.0,47428.0,47519.0,47476.0,47434.0,47528.0
848,Garfield ,29441.0,29790.0,30151.0,30373.0,30542.0,30627.0,30651.0,30664.0,30601.0,30697.0,30476.0,30303.0,29883.0,29743.0,29624.0,29588.0,29513.0,29500.0,29496.0,29560.0,29597.0,29358.0,29239.0,29118.0,29236.0,29175.0,29109.0,29055.0,29026.0,28986.0,28984.0,28932.0,28957.0,28961.0,29036.0,29044.0,29101.0,29153.0,29185.0,29185.0,29197.0,29225.0,29270.0,29337.0,29395.0,29458.0,29514.0,29620.0,29669.0,29701.0,29740.0,29843.0,29964.0,30066.0,30139.0,30180.0,30202.0,30333.0,30470.0,30609.0,30674.0,30795.0,30947.0,31031.0,31079.0,31099.0,31201.0,31330.0,31463.0,31422.0,31399.0,31387.0,31520.0,31633.0,31717.0,31843.0,31918.0,32039.0,32082.0,32206.0,32352.0,32611.0,32742.0,32860.0,32891.0,33075.0,33238.0,33414.0,33564.0,33760.0,33931.0,34132.0,34312.0,34574.0,34812.0,35065.0,35239.0,35109.0,34954.0,34744.0,34861.0,34921.0,35069.0,34870.0,34727.0,34533.0,34651.0,34645.0,34699.0,34720.0,34839.0,34916.0,34998.0,35134.0,35276.0,35378.0,35374.0,35325.0,35224.0,35211.0,35205.0,35343.0,35436.0,35591.0,35604.0,35599.0,35564.0,35730.0
936,Grady ,39125.0,39043.0,38946.0,38926.0,38937.0,38922.0,38952.0,39029.0,39107.0,38922.0,38623.0,38343.0,38142.0,37989.0,37877.0,37915.0,37944.0,37939.0,37869.0,37784.0,37682.0,37593.0,37592.0,37590.0,37737.0,37900.0,37986.0,37959.0,37892.0,37886.0,37894.0,37887.0,37940.0,37859.0,37833.0,37816.0,37943.0,38015.0,38098.0,38178.0,38263.0,38330.0,38408.0,38526.0,38619.0,38648.0,38614.0,38572.0,38563.0,38609.0,38667.0,38753.0,38836.0,38946.0,39054.0,39139.0,39216.0,39618.0,40046.0,40507.0,40581.0,40648.0,40677.0,40741.0,40838.0,40905.0,40962.0,41011.0,41093.0,40839.0,40637.0,40420.0,40493.0,40450.0,40439.0,40501.0,40544.0,40578.0,40626.0,40687.0,40705.0,40863.0,40808.0,40777.0,40767.0,41052.0,41367.0,41551.0,41705.0,41893.0,42030.0,42161.0,42271.0,42432.0,42696.0,42928.0,43115.0,43164.0,43241.0,43340.0,43494.0,43656.0,43937.0,44214.0,44480.0,44665.0,44720.0,44812.0,44875.0,45252.0,45566.0,45889.0,46016.0,46224.0,46432.0,46712.0,46998.0,47295.0,47713.0,48134.0,48606.0,48855.0,49152.0,49481.0,49973.0,50416.0,50833.0,51218.0
1129,Logan ,67021.0,66703.0,66192.0,66153.0,66079.0,66053.0,66058.0,66033.0,65941.0,65725.0,65479.0,64973.0,64640.0,64328.0,64215.0,64043.0,63932.0,63884.0,63799.0,63666.0,63616.0,63616.0,63655.0,63754.0,64006.0,64228.0,64492.0,64595.0,64756.0,64769.0,64833.0,64867.0,64968.0,65014.0,65089.0,65171.0,65176.0,65147.0,65079.0,65104.0,64969.0,64927.0,64922.0,65115.0,65189.0,65250.0,65348.0,65502.0,65675.0,65852.0,66009.0,66171.0,66453.0,66738.0,67025.0,67188.0,67384.0,67645.0,67785.0,68006.0,68285.0,68681.0,68929.0,69077.0,68909.0,68811.0,68713.0,68882.0,69072.0,69281.0,69529.0,69622.0,69543.0,69331.0,69260.0,69312.0,69594.0,69817.0,69977.0,70004.0,70065.0,70074.0,70120.0,70216.0,70337.0,70494.0,70691.0,70925.0,71194.0,71371.0,71561.0,71585.0,71554.0,71510.0,71449.0,71553.0,71858.0,72391.0,72828.0,73120.0,73287.0,73549.0,73784.0,74120.0,74369.0,74683.0,74713.0,74710.0,74654.0,74728.0,75039.0,75413.0,75867.0,76223.0,76469.0,76730.0,76980.0,77373.0,77959.0,78477.0,78932.0,79171.0,79261.0,79370.0,79468.0,79623.0,79873.0,80086.0
1310,Lincoln ,45068.0,44769.0,44503.0,44198.0,44065.0,43871.0,43849.0,43772.0,43666.0,43652.0,43226.0,42856.0,42344.0,42410.0,42443.0,42677.0,42754.0,42838.0,42777.0,42729.0,42798.0,42706.0,42701.0,42634.0,42863.0,42971.0,43141.0,43134.0,43184.0,43181.0,43239.0,43301.0,43362.0,43406.0,43511.0,43639.0,43741.0,43805.0,43791.0,43809.0,43756.0,43834.0,43774.0,43786.0,43732.0,43733.0,43697.0,43692.0,43864.0,44112.0,44352.0,44545.0,44654.0,44716.0,44877.0,45015.0,45147.0,45457.0,45823.0,46223.0,46159.0,46071.0,46018.0,46125.0,46331.0,46511.0,46689.0,46795.0,46921.0,46682.0,46428.0,46109.0,46304.0,46529.0,46786.0,46887.0,46898.0,46926.0,46971.0,47137.0,47350.0,47756.0,48144.0,48587.0,48700.0,48748.0,48741.0,48868.0,49115.0,49306.0,49469.0,49539.0,49644.0,49844.0,50039.0,50372.0,50746.0,51262.0,51668.0,52081.0,52417.0,52844.0,53238.0,53542.0,53721.0,53857.0,53925.0,53602.0,53302.0,53075.0,53196.0,53250.0,53426.0,53654.0,53892.0,54164.0,54473.0,54793.0,55159.0,55740.0,56323.0,56780.0,57030.0,57303.0,57493.0,57606.0,57730.0,57879.0
2089,Kingfisher ,58633.0,58399.0,58147.0,57919.0,57988.0,58022.0,58102.0,58013.0,57966.0,58025.0,58234.0,58354.0,58373.0,58402.0,58444.0,58429.0,58337.0,58266.0,58227.0,58296.0,58459.0,58378.0,58203.0,57984.0,58054.0,58217.0,58386.0,58545.0,58686.0,58817.0,58902.0,58890.0,58796.0,58586.0,58460.0,58451.0,58550.0,58588.0,58637.0,58680.0,58712.0,58755.0,58874.0,59049.0,59282.0,59550.0,59804.0,59989.0,60174.0,60432.0,60708.0,60956.0,61182.0,61368.0,61524.0,61730.0,61899.0,62366.0,62804.0,63257.0,63453.0,63610.0,63794.0,64103.0,64468.0,64826.0,65051.0,65230.0,65442.0,65268.0,65161.0,65053.0,65344.0,65584.0,65771.0,65888.0,65932.0,66087.0,66367.0,66702.0,66966.0,67298.0,67494.0,67789.0,68202.0,68705.0,69109.0,69246.0,69489.0,69743.0,69974.0,70095.0,70249.0,70614.0,70938.0,71405.0,71152.0,71123.0,71140.0,71741.0,72316.0,72654.0,73043.0,73417.0,73895.0,74356.0,74565.0,74456.0,74473.0,74793.0,75392.0,75891.0,76336.0,76814.0,77355.0,77900.0,78423.0,78774.0,79382.0,80131.0,81090.0,81644.0,81945.0,82062.0,82195.0,82401.0,82508.0,82609.0
