,County,Professional,Service,Office,Construction,Production
0,Canadian ,36.7,15.4,25.3,10.5,12.1
1,Cleveland ,40.1,17.1,25.2,8.7,9.0
2,Garfield ,28.7,17.1,20.9,15.2,18.0
3,Grady ,31.8,15.6,23.3,14.5,14.9
4,Kingfisher ,36.1,14.4,20.6,15.9,12.9
5,Lincoln ,29.1,16.2,23.3,15.4,15.9
6,Logan ,35.0,18.5,22.3,13.4,10.8
7,Oklahoma ,36.5,17.2,25.0,10.7,10.6
8,Payne ,39.4,18.4,22.8,10.4,9.0
9,Pottawatomie ,31.4,19.8,23.7,11.2,13.9
