,DATE,Canadian,Cleveland,Garfield,Grady,Kingfisher,Lincoln,Logan,Oklahoma,Payne,Pottawatomie
0,2010-01-01,25.3,31.2,21.8,16.8,17.1,13.7,23.2,28.2,34.0,16.6
1,2011-01-01,25.6,31.1,23.1,16.6,19.5,12.9,23.1,29.1,34.4,16.7
2,2012-01-01,25.6,31.4,21.6,16.7,18.5,12.6,22.9,29.3,35.9,16.7
3,2013-01-01,25.3,31.4,21.7,16.8,18.2,12.5,24.5,29.6,35.9,17.6
4,2014-01-01,25.4,31.0,21.5,17.2,19.4,13.1,26.5,30.2,36.4,18.0
5,2015-01-01,25.5,31.0,21.7,17.6,19.7,13.4,26.1,30.6,36.9,18.1
6,2016-01-01,25.8,31.8,21.4,17.8,22.0,14.3,26.6,30.8,37.1,17.7
7,2017-01-01,26.2,32.1,22.5,18.9,23.7,14.3,28.0,31.2,36.8,18.0
8,2018-01-01,26.8,32.5,22.4,19.7,23.6,15.1,27.6,31.8,36.9,18.3
