,County,VotePop
27807,Canadian ,98185
27872,Cleveland ,207915
28002,Garfield ,43740
28028,Grady ,40835
28171,Kingfisher ,10575
28223,Lincoln ,26210
28236,Logan ,34330
28405,Oklahoma ,529970
28470,Payne ,61540
28509,Pottawatomie ,53965
