,RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
80,Oklahoma ,220863.0,221299.0,221752.0,221715.0,221527.0,220947.0,220476.0,219850.0,219348.0,218825.0,218007.0,217396.0,217345.0,217491.0,217331.0,216923.0,216302.0,215959.0,215579.0,215593.0,215942.0,216246.0,216427.0,216180.0,215634.0,215396.0,215441.0,215996.0,216888.0,217924.0,218942.0,219449.0,219264.0,219322.0,219919.0,221039.0,221995.0,222225.0,222681.0,222904.0,223228.0,223444.0,223950.0,224826.0,226039.0,226964.0,227682.0,228267.0,229229.0,230016.0,230424.0,230706.0,231555.0,232302.0,232896.0,233373.0,234228.0,235320.0,235938.0,236075.0,235717.0,236025.0,236806.0,238091.0,238584.0,238992.0,239239.0,239436.0,239045.0,238352.0,238182.0,238749.0,239955.0,241023.0,241670.0,241381.0,241252.0,241214.0,241599.0,241848.0,242261.0,242656.0,243003.0,243098.0,243123.0,243224.0,243432.0,244435.0,245278.0,246160.0,246366.0,246885.0,247648.0,248594.0,249364.0,249816.0,249942.0,249672.0,249433.0,249292.0,249405.0,249246.0,249222.0,248976.0,248870.0,248865.0,249254.0,250275.0,250918.0,252025.0,252246.0,252653.0,252992.0,254049.0,255452.0,256452.0,257275.0,257855.0,258476.0,258846.0,259716.0,260470.0,261951.0,263165.0,264379.0,265211.0,265890.0,267012.0
252,Cleveland ,214884.0,214855.0,215306.0,215910.0,216140.0,216228.0,216157.0,215846.0,215791.0,215515.0,215282.0,215289.0,215497.0,215370.0,214793.0,213582.0,212691.0,211838.0,211562.0,211644.0,211651.0,211650.0,210771.0,210244.0,209869.0,210170.0,210465.0,211105.0,211693.0,212355.0,212585.0,212817.0,212839.0,213222.0,214231.0,214968.0,215422.0,215330.0,215941.0,216548.0,217375.0,218105.0,218867.0,219422.0,220005.0,220236.0,220787.0,221423.0,222330.0,223145.0,223369.0,223599.0,223545.0,223732.0,224063.0,224587.0,225014.0,225579.0,225595.0,226277.0,226969.0,228241.0,228807.0,229320.0,229611.0,229774.0,229829.0,229960.0,230339.0,230659.0,230803.0,229702.0,228453.0,227471.0,227973.0,228653.0,229372.0,229985.0,230477.0,230708.0,230885.0,230961.0,231320.0,232030.0,232916.0,233406.0,233434.0,233444.0,233557.0,233840.0,234051.0,234439.0,234745.0,235156.0,235680.0,236093.0,236404.0,236123.0,236105.0,235913.0,236307.0,236280.0,236606.0,236653.0,236801.0,236912.0,237173.0,237866.0,238482.0,239444.0,239820.0,240068.0,240256.0,240894.0,241764.0,242407.0,243056.0,243761.0,244418.0,244842.0,245426.0,246192.0,247427.0,248942.0,250289.0,251559.0,252594.0,254034.0
515,Canadian ,211480.0,210957.0,210064.0,209555.0,209669.0,209221.0,207905.0,206382.0,205007.0,205025.0,204920.0,204758.0,203786.0,203245.0,201996.0,200664.0,199505.0,198978.0,199334.0,199412.0,199747.0,199152.0,198463.0,197674.0,197527.0,197381.0,197883.0,198427.0,198648.0,198666.0,198621.0,199103.0,199772.0,200808.0,202075.0,203342.0,204517.0,205468.0,206295.0,206999.0,207893.0,208941.0,209677.0,210523.0,210585.0,210557.0,210257.0,210448.0,210649.0,210835.0,211196.0,211605.0,212410.0,212297.0,212513.0,212296.0,213021.0,213751.0,214728.0,215374.0,216158.0,217008.0,217759.0,218284.0,218286.0,218846.0,219110.0,219928.0,220334.0,220916.0,220859.0,220660.0,220088.0,219885.0,219616.0,219629.0,219835.0,220357.0,220965.0,221081.0,220995.0,220826.0,221248.0,221739.0,222598.0,223000.0,223250.0,223079.0,222837.0,222358.0,222031.0,221810.0,221786.0,221816.0,221794.0,222188.0,222544.0,222933.0,223240.0,223729.0,224486.0,224989.0,225533.0,226092.0,226979.0,227880.0,228706.0,229122.0,228803.0,228773.0,229166.0,229874.0,230542.0,231236.0,232259.0,232856.0,233314.0,233570.0,234058.0,234675.0,235848.0,236900.0,237738.0,238359.0,238925.0,239689.0,240195.0,241075.0
700,Payne ,198837.0,199256.0,199968.0,200603.0,200710.0,200397.0,199990.0,199817.0,199763.0,199528.0,198996.0,198405.0,197800.0,197447.0,197174.0,197088.0,197194.0,197418.0,197562.0,197589.0,197671.0,197997.0,198413.0,198833.0,199147.0,199468.0,199637.0,199937.0,200104.0,200350.0,200635.0,200889.0,201171.0,201493.0,201925.0,202373.0,202865.0,203290.0,203827.0,204092.0,204358.0,204477.0,204761.0,205190.0,205709.0,206183.0,206641.0,207116.0,207697.0,208371.0,209103.0,209862.0,210596.0,211390.0,212152.0,212880.0,213564.0,214272.0,215025.0,215726.0,216330.0,216921.0,217504.0,218238.0,219021.0,219834.0,220644.0,221408.0,222076.0,222523.0,222942.0,223416.0,223936.0,224354.0,224774.0,225251.0,225739.0,226238.0,226721.0,227151.0,227596.0,228134.0,228591.0,229121.0,229680.0,230695.0,231562.0,232361.0,232882.0,233477.0,233984.0,234506.0,235016.0,235725.0,236144.0,236608.0,237034.0,237406.0,237951.0,238524.0,239558.0,240376.0,241184.0,241955.0,242923.0,243794.0,243985.0,243934.0,243912.0,245036.0,246227.0,247356.0,248238.0,249156.0,250157.0,250979.0,251751.0,252556.0,254034.0,255650.0,257240.0,257860.0,258360.0,258905.0,259475.0,260113.0,260703.0,261420.0
761,Pottawatomie ,155922.0,155954.0,155964.0,155718.0,155744.0,155549.0,155110.0,154499.0,154284.0,154054.0,153838.0,153284.0,152746.0,151881.0,151091.0,150520.0,150210.0,149954.0,149962.0,150074.0,150132.0,150168.0,150051.0,150064.0,150105.0,150451.0,150846.0,151118.0,151372.0,151526.0,151601.0,151536.0,151624.0,151460.0,151464.0,151444.0,151711.0,151910.0,151975.0,152113.0,151955.0,152006.0,152049.0,152371.0,152545.0,152563.0,152691.0,152873.0,153269.0,153508.0,153894.0,154172.0,154644.0,155005.0,155460.0,155888.0,156294.0,157821.0,159219.0,160715.0,161015.0,161509.0,161933.0,162522.0,162987.0,163434.0,163932.0,164293.0,164727.0,163679.0,162928.0,161998.0,162517.0,162717.0,163110.0,163471.0,163908.0,164339.0,164510.0,164768.0,165068.0,166069.0,166560.0,167203.0,167711.0,168768.0,169479.0,169803.0,170126.0,170625.0,171278.0,171854.0,172274.0,172958.0,173575.0,174508.0,174289.0,174315.0,174258.0,174922.0,175564.0,176163.0,176829.0,177522.0,178174.0,178906.0,179082.0,178665.0,178317.0,178579.0,179383.0,180116.0,180811.0,181797.0,182674.0,183456.0,184115.0,184623.0,185660.0,186944.0,188683.0,189673.0,190303.0,190680.0,191068.0,191192.0,191319.0,191484.0
851,Garfield ,156348.0,155593.0,155038.0,154521.0,154680.0,154593.0,154356.0,154121.0,153655.0,153487.0,152057.0,150727.0,149212.0,149597.0,149935.0,150429.0,150347.0,150535.0,150551.0,150471.0,150403.0,149827.0,149812.0,149691.0,150256.0,150649.0,151076.0,151496.0,151559.0,151539.0,151443.0,151542.0,151722.0,152121.0,152599.0,153185.0,153689.0,154031.0,154379.0,154577.0,154918.0,155317.0,155950.0,156471.0,157004.0,157472.0,158088.0,158683.0,159311.0,159910.0,160583.0,161271.0,161897.0,162498.0,163012.0,163728.0,164426.0,165316.0,165996.0,166764.0,167409.0,168246.0,168889.0,169584.0,170292.0,171165.0,172227.0,173108.0,173938.0,174255.0,174596.0,174819.0,175136.0,175435.0,175867.0,176564.0,177184.0,177632.0,177902.0,178402.0,179018.0,179989.0,180900.0,181906.0,182720.0,183671.0,184451.0,185021.0,185408.0,185796.0,186195.0,187197.0,188146.0,189232.0,189664.0,190165.0,190549.0,190168.0,189736.0,189224.0,189359.0,189831.0,190359.0,189050.0,187702.0,186226.0,186861.0,186789.0,187160.0,187509.0,188387.0,188532.0,188692.0,189442.0,190599.0,191629.0,191678.0,191697.0,191287.0,191345.0,191147.0,191318.0,191171.0,191673.0,191902.0,191512.0,190776.0,190864.0
939,Grady ,179620.0,179494.0,179269.0,179064.0,178919.0,178864.0,178832.0,178655.0,178504.0,178246.0,177761.0,177200.0,176480.0,176092.0,175691.0,175551.0,175376.0,175327.0,175359.0,175478.0,175711.0,175968.0,176193.0,176386.0,176697.0,176891.0,177181.0,177400.0,177547.0,177554.0,177605.0,177734.0,177769.0,178078.0,178505.0,179028.0,179248.0,179509.0,179711.0,179910.0,180038.0,180354.0,180544.0,180849.0,181173.0,181305.0,181426.0,181581.0,182009.0,182474.0,182954.0,183520.0,184227.0,184835.0,185553.0,186126.0,186849.0,188135.0,189565.0,190901.0,192001.0,192897.0,193876.0,194582.0,195319.0,196060.0,196760.0,197497.0,198062.0,197663.0,197496.0,197390.0,198006.0,198383.0,198715.0,199163.0,199537.0,199922.0,200323.0,200683.0,201060.0,201901.0,202139.0,202441.0,202179.0,202863.0,203499.0,204315.0,204956.0,205619.0,206189.0,206778.0,207446.0,208366.0,209120.0,209890.0,210505.0,210885.0,211277.0,211687.0,212565.0,213477.0,214429.0,215327.0,216149.0,216942.0,217163.0,217326.0,217441.0,218514.0,219652.0,220848.0,221810.0,222824.0,223840.0,224675.0,225523.0,226262.0,227708.0,229170.0,230842.0,231686.0,232487.0,233201.0,233919.0,234597.0,235285.0,236142.0
1133,Logan ,232765.0,233365.0,233969.0,233853.0,233664.0,233443.0,233307.0,233135.0,232929.0,232696.0,232273.0,231770.0,231133.0,230523.0,229926.0,229669.0,229652.0,229876.0,230115.0,230363.0,230729.0,231137.0,231569.0,231942.0,232300.0,232650.0,233021.0,233243.0,233388.0,233518.0,233766.0,234087.0,234356.0,234683.0,235073.0,235522.0,235911.0,236255.0,236648.0,237163.0,237556.0,237844.0,238084.0,238444.0,238908.0,239302.0,239788.0,240280.0,241032.0,241803.0,242664.0,243467.0,244440.0,245367.0,246248.0,247026.0,247845.0,248797.0,249645.0,250487.0,251169.0,251972.0,252646.0,253372.0,253918.0,254642.0,255399.0,256304.0,256920.0,257515.0,258047.0,258655.0,258969.0,259187.0,259457.0,259926.0,260442.0,260939.0,261420.0,261858.0,262424.0,262962.0,263702.0,264471.0,265424.0,266332.0,267168.0,267935.0,268747.0,269487.0,270191.0,270694.0,271280.0,271763.0,271807.0,271824.0,272182.0,273380.0,274843.0,276121.0,277249.0,278153.0,279116.0,280026.0,281036.0,282088.0,282213.0,282229.0,282064.0,282753.0,283623.0,284581.0,285787.0,286692.0,287640.0,288425.0,289306.0,290209.0,291984.0,293810.0,295539.0,296171.0,296513.0,296867.0,297079.0,297639.0,298112.0,298718.0
1315,Lincoln ,117271.0,115895.0,114597.0,112926.0,112904.0,112799.0,113268.0,113545.0,113925.0,114562.0,115081.0,115500.0,115350.0,115552.0,115808.0,117194.0,118156.0,118857.0,118816.0,118638.0,118802.0,118149.0,117692.0,117162.0,117581.0,118101.0,118695.0,118723.0,118548.0,118441.0,118536.0,118867.0,119186.0,119278.0,119250.0,119422.0,119906.0,120607.0,121021.0,121287.0,121440.0,121773.0,122233.0,122871.0,123244.0,123894.0,124465.0,124975.0,125424.0,125867.0,126405.0,126894.0,127229.0,127458.0,127771.0,127822.0,128230.0,129194.0,130565.0,131793.0,132064.0,132245.0,132494.0,133074.0,133901.0,134955.0,135637.0,136388.0,136802.0,135960.0,134936.0,133979.0,134707.0,135142.0,135535.0,135630.0,135736.0,135704.0,136003.0,136365.0,136889.0,138093.0,138708.0,139507.0,139512.0,140324.0,141174.0,142004.0,142682.0,143131.0,143680.0,144128.0,144728.0,145620.0,146734.0,148211.0,148857.0,149597.0,149846.0,150778.0,151879.0,153294.0,154258.0,154872.0,155357.0,155794.0,156144.0,154987.0,154179.0,153560.0,154178.0,154526.0,155483.0,156219.0,157210.0,157543.0,158134.0,158550.0,159148.0,160621.0,162308.0,163588.0,164125.0,164517.0,164346.0,164227.0,164082.0,164628.0
2093,Kingfisher ,141684.0,141042.0,140582.0,139304.0,138924.0,138588.0,138332.0,138085.0,137854.0,138142.0,138626.0,138966.0,138566.0,138453.0,138156.0,138251.0,137985.0,138098.0,138332.0,138811.0,139149.0,139183.0,139115.0,139183.0,139738.0,140603.0,141494.0,142623.0,143591.0,144233.0,144573.0,144851.0,145608.0,145950.0,146255.0,146285.0,146493.0,146712.0,147073.0,147476.0,147914.0,148294.0,148976.0,149621.0,149984.0,150518.0,150974.0,151797.0,152556.0,153082.0,153673.0,154165.0,154758.0,155210.0,155575.0,156227.0,156899.0,158451.0,159945.0,161462.0,162248.0,163289.0,164293.0,165016.0,165681.0,166539.0,167331.0,167730.0,167979.0,166367.0,165064.0,163677.0,164230.0,164428.0,164515.0,164658.0,164805.0,164985.0,165333.0,165751.0,166373.0,167628.0,168561.0,169488.0,169750.0,170610.0,171394.0,172022.0,172600.0,173225.0,173740.0,174432.0,174860.0,175707.0,176170.0,177105.0,177204.0,177590.0,177951.0,179184.0,180517.0,181663.0,182575.0,183245.0,183998.0,184834.0,185468.0,185396.0,185412.0,186034.0,187289.0,188571.0,189650.0,190553.0,191355.0,191849.0,192613.0,192986.0,193868.0,195027.0,196604.0,197427.0,197773.0,197672.0,197687.0,197918.0,198356.0,199090.0
