,DATE,Creek,Mayes,Muskogee,Okmulgee,Osage,Rogers,Tulsa,Wagoner,Washington
13,2010-01-01,41331,40253,38528,36119,41589,56107,44231,56216,45957
14,2011-01-01,41000,40229,35443,35226,43170,54974,46497,52717,47645
15,2012-01-01,44130,38724,37103,38216,44528,56547,47371,54839,48851
16,2013-01-01,44608,41142,38574,36588,49999,55865,48082,53098,46836
17,2014-01-01,46614,41806,41015,38183,48014,56465,50507,58921,49056
18,2015-01-01,47395,46373,40340,39825,46093,63263,51366,57948,52056
19,2016-01-01,45630,45922,40581,38446,46074,62622,51476,61882,52283
20,2017-01-01,47397,45343,38692,42811,47084,61731,52579,59466,51691
21,2018-01-01,54478,50951,43911,42354,48826,61849,55796,62889,53992
